method,dataset,perturb_max_px,dice_pm0_train,dice_pm20_train,dice_rand100_train,delta_pm20_vs_pm0,delta_rand100_vs_pm0
zero_shot,isic2018_test,0,0.9072,0.9072,0.9072,0.0,0.0
zero_shot,isic2018_test,20,0.9206,0.9206,0.9206,0.0,0.0
zero_shot,isic2018_test,50,0.9144,0.9144,0.9144,0.0,0.0
zero_shot,isic2018_test,100,0.8708,0.8708,0.8708,0.0,0.0
zero_shot,isic2018_test,200,0.7673,0.7673,0.7673,0.0,0.0
zero_shot,ph2,0,0.9054,0.9054,0.9054,0.0,0.0
zero_shot,ph2,20,0.915,0.915,0.915,0.0,0.0
zero_shot,ph2,50,0.9107,0.9107,0.9107,0.0,0.0
zero_shot,ph2,100,0.8756,0.8756,0.8756,0.0,0.0
zero_shot,ph2,200,0.7986,0.7986,0.7986,0.0,0.0
zero_shot,busi,0,0.8234,0.8234,0.8234,0.0,0.0
zero_shot,busi,20,0.8504,0.8504,0.8504,0.0,0.0
zero_shot,busi,50,0.8384,0.8384,0.8384,0.0,0.0
zero_shot,busi,100,0.7579,0.7579,0.7579,0.0,0.0
zero_shot,busi,200,0.6017,0.6017,0.6017,0.0,0.0
zero_shot,cbis_ddsm,0,0.6924,0.6924,0.6924,0.0,0.0
zero_shot,cbis_ddsm,20,0.7483,0.7483,0.7483,0.0,0.0
zero_shot,cbis_ddsm,50,0.657,0.657,0.657,0.0,0.0
zero_shot,cbis_ddsm,100,0.3905,0.3905,0.3905,0.0,0.0
zero_shot,cbis_ddsm,200,0.1889,0.1889,0.1889,0.0,0.0
decoder_only,isic2018_test,0,0.9487,0.9462,0.9384,-0.0025,-0.0103
decoder_only,isic2018_test,20,0.9345,0.9385,0.9313,0.004,-0.0032
decoder_only,isic2018_test,50,0.889,0.9076,0.9119,0.0186,0.0229
decoder_only,isic2018_test,100,0.8159,0.8423,0.8694,0.0264,0.0535
decoder_only,isic2018_test,200,0.7075,0.7408,0.7782,0.0333,0.0707
decoder_only,ph2,0,0.9466,0.9473,0.9408,0.0007,-0.0058
decoder_only,ph2,20,0.9305,0.9394,0.9335,0.0089,0.003
decoder_only,ph2,50,0.89,0.9138,0.9138,0.0238,0.0238
