method,dataset,perturb_max_px,dice_pm0_mean,dice_pm0_std,dice_pm20_mean,dice_pm20_std,dice_rand100_mean,dice_rand100_std,delta_pm20_vs_pm0,delta_rand100_vs_pm0
decoder_only,busi,0,0.8935,0.0008,0.8807,0.0018,0.8226,0.0087,-0.0128,-0.0709
decoder_only,busi,20,0.8693,0.0015,0.8717,0.0044,0.8168,0.0114,0.0024,-0.0525
decoder_only,busi,50,0.7785,0.0035,0.8088,0.0098,0.7883,0.0112,0.0303,0.0098
decoder_only,busi,100,0.6587,0.004,0.6879,0.0128,0.6989,0.0131,0.0292,0.0402
decoder_only,busi,200,0.4915,0.0035,0.5184,0.0179,0.5142,0.0158,0.0269,0.0227
decoder_only,cbis_ddsm,0,0.828,0.0006,0.7824,0.0044,0.609,0.0504,-0.0456,-0.219
decoder_only,cbis_ddsm,20,0.7059,0.0081,0.7012,0.0138,0.5583,0.0544,-0.0047,-0.1476
decoder_only,cbis_ddsm,50,0.5039,0.0052,0.5186,0.0144,0.4528,0.0493,0.0147,-0.0511
decoder_only,cbis_ddsm,100,0.3026,0.0023,0.304,0.0091,0.2764,0.0307,0.0014,-0.0262
decoder_only,cbis_ddsm,200,0.1574,0.0012,0.1532,0.004,0.1362,0.0148,-0.0042,-0.0212
decoder_only,isic2018_test,0,0.9487,0.0002,0.9462,0.0004,0.9377,0.0008,-0.0025,-0.011
decoder_only,isic2018_test,20,0.9349,0.0006,0.9365,0.0022,0.9314,0.002,0.0016,-0.0035
decoder_only,isic2018_test,50,0.89,0.0019,0.9021,0.0056,0.9145,0.0043,0.0121,0.0245
decoder_only,isic2018_test,100,0.8176,0.003,0.8331,0.0095,0.8761,0.0068,0.0155,0.0585
decoder_only,isic2018_test,200,0.7102,0.0042,0.7271,0.0135,0.7896,0.0099,0.0169,0.0794
decoder_only,ph2,0,0.9467,0.0001,0.9449,0.003,0.939,0.0028,-0.0018,-0.0077
decoder_only,ph2,20,0.9312,0.001,0.9329,0.0066,0.9315,0.0038,0.0017,0.0003
decoder_only,ph2,50,0.8917,0.0023,0.9019,0.0119,0.9132,0.0039,0.0102,0.0215
decoder_only,ph2,100,0.8229,0.0029,0.8382,0.0153,0.8711,0.003,0.0153,0.0482
decoder_only,ph2,200,0.7309,0.0037,0.7513,0.0227,0.7944,0.0045,0.0204,0.0635
full_ft,busi,0,0.9007,0.0015,0.8996,0.0053,0.8762,0.0152,-0.0011,-0.0245
full_ft,busi,20,0.886,0.0035,0.8889,0.0025,0.8712,0.0132,0.0029,-0.0148
full_ft,busi,50,0.8051,0.0066,0.8236,0.0125,0.8424,0.0096,0.0185,0.0373
full_ft,busi,100,0.6722,0.0057,0.6902,0.0158,0.7422,0.0198,0.018,0.07
full_ft,busi,200,0.4996,0.0043,0.5096,0.0156,0.5445,0.0269,0.01,0.0449
full_ft,cbis_ddsm,0,0.8285,0.001,0.8051,0.0058,0.698,0.0256,-0.0234,-0.1305
