run_name,method,dataset,seed,perturb_max_px,n_samples,dice_mean,dice_std,iou_mean,hd95_mean,n_images,trainable_params,peak_mem_mb,wall_clock_s,timestamp
zero_shot,zero_shot,isic2018_test,0,20,1,0.9206,0.0604,0.8582,12.8268,1000,0,10152,674.6,2026-09-11T21:48:33
zero_shot,zero_shot,isic2018_test,0,50,1,0.9144,0.0624,0.8478,15.0612,1000,0,10152,674.6,2026-09-11T21:48:34
zero_shot,zero_shot,isic2018_test,0,100,1,0.8708,0.0819,0.7796,29.3376,1000,0,10152,674.6,2026-09-11T21:48:34
zero_shot,zero_shot,isic2018_test,0,200,1,0.7673,0.1485,0.6435,84.8683,1000,0,10152,674.6,2026-09-11T21:48:34
zero_shot,zero_shot,ph2,0,20,1,0.9150,0.0720,0.8499,15.0286,200,0,10152,136.0,2026-09-11T21:50:50
zero_shot,zero_shot,ph2,0,50,1,0.9107,0.0685,0.8423,17.2064,200,0,10152,136.0,2026-09-11T21:50:50
zero_shot,zero_shot,ph2,0,100,1,0.8756,0.0790,0.7867,31.2370,200,0,10152,136.0,2026-09-11T21:50:50
zero_shot,zero_shot,ph2,0,200,1,0.7986,0.1204,0.6796,78.7722,200,0,10152,136.0,2026-09-11T21:50:50
zero_shot,zero_shot,busi,0,20,1,0.8504,0.0887,0.7487,18.2501,647,0,10152,394.0,2026-09-11T21:57:24
zero_shot,zero_shot,busi,0,50,1,0.8384,0.0980,0.7323,21.6017,647,0,10152,394.0,2026-09-11T21:57:24
zero_shot,zero_shot,busi,0,100,1,0.7579,0.1313,0.6264,44.3731,647,0,10152,394.0,2026-09-11T21:57:24
zero_shot,zero_shot,busi,0,200,1,0.6017,0.1807,0.4533,111.6246,647,0,10152,394.0,2026-09-11T21:57:24
zero_shot,zero_shot,cbis_ddsm,0,20,1,0.7483,0.1475,0.6160,12.3962,362,0,10152,186.7,2026-09-11T22:00:31
zero_shot,zero_shot,cbis_ddsm,0,50,1,0.6570,0.1839,0.5143,19.5949,362,0,10152,186.7,2026-09-11T22:00:31
zero_shot,zero_shot,cbis_ddsm,0,100,1,0.3905,0.2082,0.2648,55.3037,362,0,10152,186.7,2026-09-11T22:00:31
zero_shot,zero_shot,cbis_ddsm,0,200,1,0.1889,0.1531,0.1133,126.8460,362,0,10152,186.7,2026-09-11T22:00:31
lora_cka_oodonly_both_l10_pm20_seed0,lora,isic2018_test,0,20,1,0.9356,0.0470,0.8823,6.4072,1000,4353252,10153,644.7,2026-09-11T22:11:17
lora_cka_oodonly_both_l10_pm20_seed0,lora,isic2018_test,0,50,1,0.8935,0.0631,0.8129,15.0165,1000,4353252,10153,644.7,2026-09-11T22:11:17
lora_cka_oodonly_both_l10_pm20_seed0,lora,isic2018_test,0,100,1,0.8251,0.0982,0.7133,34.8198,1000,4353252,10153,644.7,2026-09-11T22:11:17
lora_cka_oodonly_both_l10_pm20_seed0,lora,isic2018_test,0,200,1,0.7296,0.1530,0.5958,80.0022,1000,4353252,10153,644.7,2026-09-11T22:11:17
lora_cka_oodonly_both_l10_pm20_seed0,lora,ph2,0,20,1,0.9335,0.0318,0.8769,6.1360,200,4353252,10153,131.9,2026-09-11T22:13:29
lora_cka_oodonly_both_l10_pm20_seed0,lora,ph2,0,50,1,0.8976,0.0500,0.8179,14.4525,200,4353252,10153,131.9,2026-09-11T22:13:29
lora_cka_oodonly_both_l10_pm20_seed0,lora,ph2,0,100,1,0.8369,0.0869,0.7289,32.8772,200,4353252,10153,131.9,2026-09-11T22:13:29
lora_cka_oodonly_both_l10_pm20_seed0,lora,ph2,0,200,1,0.7656,0.1364,0.6396,67.6782,200,4353252,10153,131.9,2026-09-11T22:13:29
lora_cka_oodonly_both_l10_pm20_seed0,lora,busi,0,20,1,0.8490,0.0952,0.7478,44.8084,647,4353252,10153,387.2,2026-09-11T22:19:57
lora_cka_oodonly_both_l10_pm20_seed0,lora,busi,0,50,1,0.7937,0.1072,0.6698,60.3246,647,4353252,10153,387.2,2026-09-11T22:19:58
lora_cka_oodonly_both_l10_pm20_seed0,lora,busi,0,100,1,0.6953,0.1361,0.5486,89.5281,647,4353252,10153,387.2,2026-09-11T22:19:58
lora_cka_oodonly_both_l10_pm20_seed0,lora,busi,0,200,1,0.5375,0.1775,0.3876,150.6766,647,4353252,10153,387.2,2026-09-11T22:19:58
lora_cka_oodonly_both_l10_pm20_seed0,lora,cbis_ddsm,0,20,1,0.6867,0.1822,0.5482,73.7479,362,4353252,10153,191.2,2026-09-11T22:23:09
lora_cka_oodonly_both_l10_pm20_seed0,lora,cbis_ddsm,0,50,1,0.5051,0.1927,0.3598,120.1024,362,4353252,10153,191.2,2026-09-11T22:23:09
lora_cka_oodonly_both_l10_pm20_seed0,lora,cbis_ddsm,0,100,1,0.2972,0.1751,0.1881,159.8955,362,4353252,10153,191.2,2026-09-11T22:23:09
lora_cka_oodonly_both_l10_pm20_seed0,lora,cbis_ddsm,0,200,1,0.1462,0.1197,0.0838,205.4291,362,4353252,10153,191.2,2026-09-11T22:23:09
