run_name,method,dataset,seed,perturb_max_px,n_samples,dice_mean,dice_std,iou_mean,hd95_mean,n_images,trainable_params,peak_mem_mb,wall_clock_s,timestamp
zero_shot,zero_shot,isic2018_test,0,20,1,0.9206,0.0604,0.8582,12.8268,1000,0,10152,688.8,2026-09-15T01:18:09
zero_shot,zero_shot,isic2018_test,0,50,1,0.9144,0.0624,0.8478,15.0612,1000,0,10152,688.8,2026-09-15T01:18:10
zero_shot,zero_shot,isic2018_test,0,100,1,0.8708,0.0819,0.7796,29.3376,1000,0,10152,688.8,2026-09-15T01:18:10
zero_shot,zero_shot,isic2018_test,0,200,1,0.7673,0.1485,0.6435,84.8683,1000,0,10152,688.8,2026-09-15T01:18:10
zero_shot,zero_shot,ph2,0,20,1,0.9150,0.0720,0.8499,15.0286,200,0,10152,140.1,2026-09-15T01:20:30
zero_shot,zero_shot,ph2,0,50,1,0.9107,0.0685,0.8423,17.2064,200,0,10152,140.1,2026-09-15T01:20:30
zero_shot,zero_shot,ph2,0,100,1,0.8756,0.0790,0.7867,31.2370,200,0,10152,140.1,2026-09-15T01:20:30
zero_shot,zero_shot,ph2,0,200,1,0.7986,0.1204,0.6796,78.7722,200,0,10152,140.1,2026-09-15T01:20:30
zero_shot,zero_shot,busi,0,20,1,0.8504,0.0887,0.7487,18.2501,647,0,10152,411.5,2026-09-15T01:27:22
zero_shot,zero_shot,busi,0,50,1,0.8384,0.0980,0.7323,21.6017,647,0,10152,411.5,2026-09-15T01:27:22
zero_shot,zero_shot,busi,0,100,1,0.7579,0.1313,0.6264,44.3731,647,0,10152,411.5,2026-09-15T01:27:22
zero_shot,zero_shot,busi,0,200,1,0.6017,0.1807,0.4533,111.6246,647,0,10152,411.5,2026-09-15T01:27:22
zero_shot,zero_shot,cbis_ddsm,0,20,1,0.7483,0.1475,0.6160,12.3962,362,0,10152,196.9,2026-09-15T01:30:39
zero_shot,zero_shot,cbis_ddsm,0,50,1,0.6570,0.1839,0.5143,19.5949,362,0,10152,196.9,2026-09-15T01:30:39
zero_shot,zero_shot,cbis_ddsm,0,100,1,0.3905,0.2082,0.2648,55.3037,362,0,10152,196.9,2026-09-15T01:30:39
zero_shot,zero_shot,cbis_ddsm,0,200,1,0.1889,0.1531,0.1133,126.8460,362,0,10152,196.9,2026-09-15T01:30:39
lora_cka_oodonly_both_l10_pm20_seed1,lora,isic2018_test,1,20,1,0.9402,0.0424,0.8899,5.7746,1000,4353252,10153,693.4,2026-09-15T01:42:13
lora_cka_oodonly_both_l10_pm20_seed1,lora,isic2018_test,1,50,1,0.9144,0.0549,0.8465,10.5188,1000,4353252,10153,693.4,2026-09-15T01:42:13
lora_cka_oodonly_both_l10_pm20_seed1,lora,isic2018_test,1,100,1,0.8658,0.0821,0.7718,23.0436,1000,4353252,10153,693.4,2026-09-15T01:42:13
lora_cka_oodonly_both_l10_pm20_seed1,lora,isic2018_test,1,200,1,0.7949,0.1322,0.6774,51.9652,1000,4353252,10153,693.4,2026-09-15T01:42:13
lora_cka_oodonly_both_l10_pm20_seed1,lora,ph2,1,20,1,0.9431,0.0322,0.8941,4.1504,200,4353252,10153,138.7,2026-09-15T01:44:32
lora_cka_oodonly_both_l10_pm20_seed1,lora,ph2,1,50,1,0.9218,0.0411,0.8575,8.3451,200,4353252,10153,138.7,2026-09-15T01:44:32
lora_cka_oodonly_both_l10_pm20_seed1,lora,ph2,1,100,1,0.8780,0.0657,0.7884,19.9389,200,4353252,10153,138.7,2026-09-15T01:44:32
lora_cka_oodonly_both_l10_pm20_seed1,lora,ph2,1,200,1,0.8296,0.1023,0.7213,39.2027,200,4353252,10153,138.7,2026-09-15T01:44:32
lora_cka_oodonly_both_l10_pm20_seed1,lora,busi,1,20,1,0.7968,0.1287,0.6787,139.8484,647,4353252,10153,403.0,2026-09-15T01:51:15
lora_cka_oodonly_both_l10_pm20_seed1,lora,busi,1,50,1,0.7508,0.1343,0.6178,144.0701,647,4353252,10153,403.0,2026-09-15T01:51:15
lora_cka_oodonly_both_l10_pm20_seed1,lora,busi,1,100,1,0.6632,0.1508,0.5141,174.0201,647,4353252,10153,403.0,2026-09-15T01:51:16
lora_cka_oodonly_both_l10_pm20_seed1,lora,busi,1,200,1,0.5062,0.1836,0.3594,238.6484,647,4353252,10153,403.0,2026-09-15T01:51:16
lora_cka_oodonly_both_l10_pm20_seed1,lora,cbis_ddsm,1,20,1,0.5352,0.2424,0.4007,114.1382,362,4353252,10153,201.1,2026-09-15T01:54:37
lora_cka_oodonly_both_l10_pm20_seed1,lora,cbis_ddsm,1,50,1,0.4398,0.2153,0.3068,141.5114,362,4353252,10153,201.1,2026-09-15T01:54:37
lora_cka_oodonly_both_l10_pm20_seed1,lora,cbis_ddsm,1,100,1,0.2683,0.1782,0.1685,198.9763,362,4353252,10153,201.1,2026-09-15T01:54:37
lora_cka_oodonly_both_l10_pm20_seed1,lora,cbis_ddsm,1,200,1,0.1353,0.1164,0.0772,245.9347,362,4353252,10153,201.1,2026-09-15T01:54:37
lora_cka_oodonly_both_l10_pm20_seed2,lora,isic2018_test,2,20,1,0.9412,0.0446,0.8919,5.7535,1000,4353252,10153,683.0,2026-09-15T02:06:01
lora_cka_oodonly_both_l10_pm20_seed2,lora,isic2018_test,2,50,1,0.9095,0.0586,0.8388,11.9940,1000,4353252,10153,683.0,2026-09-15T02:06:01
lora_cka_oodonly_both_l10_pm20_seed2,lora,isic2018_test,2,100,1,0.8475,0.0911,0.7454,28.9137,1000,4353252,10153,683.0,2026-09-15T02:06:01
lora_cka_oodonly_both_l10_pm20_seed2,lora,isic2018_test,2,200,1,0.7594,0.1496,0.6335,66.8069,1000,4353252,10153,683.0,2026-09-15T02:06:01
lora_cka_oodonly_both_l10_pm20_seed2,lora,ph2,2,20,1,0.9412,0.0325,0.8906,4.6963,200,4353252,10153,140.4,2026-09-15T02:08:22
lora_cka_oodonly_both_l10_pm20_seed2,lora,ph2,2,50,1,0.9098,0.0462,0.8378,11.5647,200,4353252,10153,140.4,2026-09-15T02:08:22
lora_cka_oodonly_both_l10_pm20_seed2,lora,ph2,2,100,1,0.8592,0.0731,0.7601,25.5670,200,4353252,10153,140.4,2026-09-15T02:08:22
lora_cka_oodonly_both_l10_pm20_seed2,lora,ph2,2,200,1,0.7968,0.1206,0.6783,53.7282,200,4353252,10153,140.4,2026-09-15T02:08:22
lora_cka_oodonly_both_l10_pm20_seed2,lora,busi,2,20,1,0.8163,0.1141,0.7033,93.0481,647,4353252,10153,401.8,2026-09-15T02:15:04
