probe,position,lambda,dataset,dice,iou,hd95,baseline_dice,delta_vs_baseline
original,early,0.1,isic2018_test,0.9564,0.9189,3.81,0.9545,0.0019
original,early,0.1,ph2,0.9578,0.9202,2.04,0.9557,0.0021
original,early,0.1,busi,0.7467,0.6279,279.23,0.7775,-0.0308
original,early,0.1,cbis_ddsm,0.1654,0.1157,570.43,0.4979,-0.3325
original,early,10.0,isic2018_test,0.9546,0.9157,4.2,0.9545,0.0001
original,early,10.0,ph2,0.9571,0.919,2.64,0.9557,0.0014
original,early,10.0,busi,0.8209,0.7136,120.57,0.7775,0.0434
original,early,10.0,cbis_ddsm,0.5148,0.3898,224.05,0.4979,0.0169
original,early,1.0,isic2018_test,0.9572,0.9204,3.59,0.9545,0.0027
original,early,1.0,ph2,0.9597,0.9233,1.8,0.9557,0.004
original,early,1.0,busi,0.7906,0.6789,168.68,0.7775,0.0131
original,early,1.0,cbis_ddsm,0.4062,0.2967,351.08,0.4979,-0.0917
oodonly,early,0.1,isic2018_test,0.9555,0.9174,4.12,0.9545,0.001
oodonly,early,0.1,ph2,0.9576,0.9198,2.23,0.9557,0.0019
oodonly,early,0.1,busi,0.725,0.6042,246.8,0.7775,-0.0525
oodonly,early,0.1,cbis_ddsm,0.4241,0.3119,343.32,0.4979,-0.0738
oodonly,early,10.0,isic2018_test,0.9536,0.9138,4.0,0.9545,-0.0009
oodonly,early,10.0,ph2,0.9589,0.9222,1.99,0.9557,0.0032
oodonly,early,10.0,busi,0.3983,0.3104,201.32,0.7775,-0.3792
oodonly,early,10.0,cbis_ddsm,0.034,0.0226,624.72,0.4979,-0.4639
oodonly,early,1.0,isic2018_test,0.9569,0.92,4.03,0.9545,0.0024
oodonly,early,1.0,ph2,0.9585,0.9213,1.94,0.9557,0.0028
oodonly,early,1.0,busi,0.7834,0.6702,190.48,0.7775,0.0059
oodonly,early,1.0,cbis_ddsm,0.4361,0.3239,310.41,0.4979,-0.0618
original,mid,0.1,isic2018_test,0.9567,0.9193,3.74,0.9545,0.0022
