position,lambda,dataset,dice,iou,hd95,baseline_dice,delta_dice
early,0.1,isic2018_test,0.9564,0.9189,3.81,0.9545,0.0019
early,1.0,isic2018_test,0.9572,0.9204,3.59,0.9545,0.0027
early,10.0,isic2018_test,0.9546,0.9157,4.2,0.9545,0.0001
mid,0.1,isic2018_test,0.9567,0.9193,3.74,0.9545,0.0022
mid,1.0,isic2018_test,0.9571,0.92,3.55,0.9545,0.0026
mid,10.0,isic2018_test,0.9546,0.9156,4.05,0.9545,0.0001
late,0.1,isic2018_test,0.9572,0.9203,3.64,0.9545,0.0027
late,1.0,isic2018_test,0.9544,0.9153,4.08,0.9545,-0.0001
late,10.0,isic2018_test,0.9517,0.9103,4.31,0.9545,-0.0028
early,0.1,ph2,0.9578,0.9202,2.04,0.9557,0.0021
early,1.0,ph2,0.9597,0.9233,1.8,0.9557,0.004
early,10.0,ph2,0.9571,0.919,2.64,0.9557,0.0014
mid,0.1,ph2,0.9571,0.9189,2.52,0.9557,0.0014
mid,1.0,ph2,0.959,0.9222,2.15,0.9557,0.0033
mid,10.0,ph2,0.9554,0.916,2.83,0.9557,-0.0003
late,0.1,ph2,0.9578,0.9201,2.28,0.9557,0.0021
late,1.0,ph2,0.9565,0.9177,2.46,0.9557,0.0008
late,10.0,ph2,0.9539,0.9131,3.08,0.9557,-0.0018
early,0.1,busi,0.7467,0.6279,279.23,0.7775,-0.0308
early,1.0,busi,0.7906,0.6789,168.68,0.7775,0.0131
early,10.0,busi,0.8209,0.7136,120.57,0.7775,0.0434
mid,0.1,busi,0.751,0.6351,224.91,0.7775,-0.0265
mid,1.0,busi,0.7584,0.6424,205.75,0.7775,-0.0191
mid,10.0,busi,0.8049,0.696,126.61,0.7775,0.0274
late,0.1,busi,0.7493,0.6307,220.31,0.7775,-0.0282
late,1.0,busi,0.7625,0.642,200.24,0.7775,-0.015
late,10.0,busi,0.8289,0.7239,89.59,0.7775,0.0514
early,0.1,cbis_ddsm,0.1654,0.1157,570.43,0.4979,-0.3325
early,1.0,cbis_ddsm,0.4062,0.2967,351.08,0.4979,-0.0917
early,10.0,cbis_ddsm,0.5148,0.3898,224.05,0.4979,0.0169
mid,0.1,cbis_ddsm,0.3145,0.2252,420.92,0.4979,-0.1834
mid,1.0,cbis_ddsm,0.4333,0.3297,275.22,0.4979,-0.0646
mid,10.0,cbis_ddsm,0.4682,0.356,275.18,0.4979,-0.0297
late,0.1,cbis_ddsm,0.3936,0.288,316.41,0.4979,-0.1043
late,1.0,cbis_ddsm,0.5498,0.4299,236.05,0.4979,0.0519
late,10.0,cbis_ddsm,0.5261,0.4086,168.34,0.4979,0.0282
