run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
lora_cka_oodonly_both_l10_pm20_seed1,lora,isic2018_test,1,0.9486,0.0392,0.9045,4.4586,4353252,5291,233.0,2026-09-15T00:37:38,pm0
lora_cka_oodonly_both_l10_pm20_seed1,lora,ph2,1,0.9526,0.0292,0.9108,2.8659,4353252,5291,46.8,2026-09-15T00:38:24,pm0
lora_cka_oodonly_both_l10_pm20_seed1,lora,busi,1,0.8081,0.1302,0.6949,129.8354,4353252,5291,133.6,2026-09-15T00:40:38,pm0
lora_cka_oodonly_both_l10_pm20_seed1,lora,cbis_ddsm,1,0.5299,0.2673,0.4028,100.5518,4353252,5291,73.0,2026-09-15T00:41:51,pm0
lora_cka_oodonly_both_l10_pm20_seed2,lora,isic2018_test,2,0.9515,0.0396,0.9099,4.2202,4353252,5291,231.6,2026-09-15T00:45:51,pm0
lora_cka_oodonly_both_l10_pm20_seed2,lora,ph2,2,0.9539,0.0289,0.9133,2.9307,4353252,5291,46.8,2026-09-15T00:46:38,pm0
lora_cka_oodonly_both_l10_pm20_seed2,lora,busi,2,0.8316,0.1094,0.7247,84.2948,4353252,5291,137.9,2026-09-15T00:48:56,pm0
lora_cka_oodonly_both_l10_pm20_seed2,lora,cbis_ddsm,2,0.6229,0.2334,0.4890,153.7194,4353252,5291,74.1,2026-09-15T00:50:10,pm0
lora_cka_oodonly_enc_l10_pm20_seed1,lora,isic2018_test,1,0.9482,0.0430,0.9043,5.1364,4353252,5291,231.7,2026-09-15T00:54:10,pm0
lora_cka_oodonly_enc_l10_pm20_seed1,lora,ph2,1,0.9514,0.0301,0.9089,3.3041,4353252,5291,46.8,2026-09-15T00:54:57,pm0
lora_cka_oodonly_enc_l10_pm20_seed1,lora,busi,1,0.7046,0.2140,0.5817,253.4245,4353252,5291,133.9,2026-09-15T00:57:11,pm0
lora_cka_oodonly_enc_l10_pm20_seed1,lora,cbis_ddsm,1,0.2890,0.2298,0.1930,413.3854,4353252,5291,71.6,2026-09-15T00:58:22,pm0
lora_cka_oodonly_enc_l10_pm20_seed2,lora,isic2018_test,2,0.9476,0.0416,0.9029,5.1058,4353252,5291,225.3,2026-09-15T01:02:16,pm0
lora_cka_oodonly_enc_l10_pm20_seed2,lora,ph2,2,0.9504,0.0283,0.9068,3.2606,4353252,5291,46.9,2026-09-15T01:03:03,pm0
lora_cka_oodonly_enc_l10_pm20_seed2,lora,busi,2,0.7504,0.1925,0.6327,167.3855,4353252,5291,138.6,2026-09-15T01:05:21,pm0
lora_cka_oodonly_enc_l10_pm20_seed2,lora,cbis_ddsm,2,0.3980,0.3078,0.2972,290.7449,4353252,5291,71.1,2026-09-15T01:06:33,pm0
