run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10152,293.2,2026-06-05T05:48:23,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10152,59.8,2026-06-05T05:49:24,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10152,178.8,2026-06-05T05:52:23,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10152,95.8,2026-06-05T05:53:59,
lora_cka_early_l01_seed0,lora,isic2018_test,0,0.9564,0.0400,0.9189,3.8071,4353252,10185,298.5,2026-06-05T05:58:59,
lora_cka_early_l01_seed0,lora,ph2,0,0.9578,0.0251,0.9202,2.0358,4353252,10185,61.8,2026-06-05T06:00:01,
lora_cka_early_l01_seed0,lora,busi,0,0.7467,0.1908,0.6279,279.2265,4353252,10185,187.0,2026-06-05T06:03:08,
lora_cka_early_l01_seed0,lora,cbis_ddsm,0,0.1654,0.2443,0.1157,570.4258,4353252,10185,103.2,2026-06-05T06:04:51,
lora_cka_early_l10_seed0,lora,isic2018_test,0,0.9546,0.0399,0.9157,4.1991,4353252,10217,302.6,2026-06-05T06:09:55,
lora_cka_early_l10_seed0,lora,ph2,0,0.9571,0.0268,0.9190,2.6367,4353252,10217,61.7,2026-06-05T06:10:57,
lora_cka_early_l10_seed0,lora,busi,0,0.8209,0.1293,0.7136,120.5698,4353252,10217,185.6,2026-06-05T06:14:03,
lora_cka_early_l10_seed0,lora,cbis_ddsm,0,0.5148,0.2687,0.3898,224.0521,4353252,10217,98.3,2026-06-05T06:15:41,
lora_cka_early_l1_seed0,lora,isic2018_test,0,0.9572,0.0405,0.9204,3.5919,4353252,10249,300.7,2026-06-05T06:20:44,
lora_cka_early_l1_seed0,lora,ph2,0,0.9597,0.0227,0.9233,1.8012,4353252,10249,60.6,2026-06-05T06:21:44,
lora_cka_early_l1_seed0,lora,busi,0,0.7906,0.1626,0.6789,168.6790,4353252,10249,183.2,2026-06-05T06:24:48,
lora_cka_early_l1_seed0,lora,cbis_ddsm,0,0.4062,0.2837,0.2967,351.0797,4353252,10249,98.4,2026-06-05T06:26:26,
