run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10152,295.2,2026-06-05T07:14:47,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10152,60.1,2026-06-05T07:15:47,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10152,180.5,2026-06-05T07:18:48,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10152,95.7,2026-06-05T07:20:24,
lora_cka_late_l01_seed0,lora,isic2018_test,0,0.9572,0.0397,0.9203,3.6355,4353252,10185,302.6,2026-06-05T07:25:28,
lora_cka_late_l01_seed0,lora,ph2,0,0.9578,0.0255,0.9201,2.2787,4353252,10185,61.8,2026-06-05T07:26:30,
lora_cka_late_l01_seed0,lora,busi,0,0.7493,0.1908,0.6307,220.3067,4353252,10185,186.2,2026-06-05T07:29:36,
lora_cka_late_l01_seed0,lora,cbis_ddsm,0,0.3936,0.2869,0.2880,316.4136,4353252,10185,99.1,2026-06-05T07:31:15,
lora_cka_late_l10_seed0,lora,isic2018_test,0,0.9517,0.0409,0.9103,4.3118,4353252,10217,302.3,2026-06-05T07:36:19,
lora_cka_late_l10_seed0,lora,ph2,0,0.9539,0.0279,0.9131,3.0820,4353252,10217,61.5,2026-06-05T07:37:21,
lora_cka_late_l10_seed0,lora,busi,0,0.8289,0.1256,0.7239,89.5942,4353252,10217,185.9,2026-06-05T07:40:27,
lora_cka_late_l10_seed0,lora,cbis_ddsm,0,0.5261,0.2948,0.4086,168.3450,4353252,10217,97.2,2026-06-05T07:42:05,
lora_cka_late_l1_seed0,lora,isic2018_test,0,0.9544,0.0403,0.9153,4.0850,4353252,10249,301.3,2026-06-05T07:47:07,
lora_cka_late_l1_seed0,lora,ph2,0,0.9565,0.0248,0.9177,2.4560,4353252,10249,61.6,2026-06-05T07:48:09,
lora_cka_late_l1_seed0,lora,busi,0,0.7625,0.1693,0.6420,200.2370,4353252,10249,186.1,2026-06-05T07:51:15,
lora_cka_late_l1_seed0,lora,cbis_ddsm,0,0.5498,0.2881,0.4299,236.0468,4353252,10249,96.7,2026-06-05T07:52:52,
