run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10152,292.1,2026-06-05T06:31:41,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10152,59.4,2026-06-05T06:32:41,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10152,180.2,2026-06-05T06:35:41,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10152,95.7,2026-06-05T06:37:17,
lora_cka_mid_l01_seed0,lora,isic2018_test,0,0.9567,0.0389,0.9193,3.7371,4353252,10185,299.5,2026-06-05T06:42:18,
lora_cka_mid_l01_seed0,lora,ph2,0,0.9571,0.0274,0.9189,2.5218,4353252,10185,60.9,2026-06-05T06:43:19,
lora_cka_mid_l01_seed0,lora,busi,0,0.7510,0.1974,0.6351,224.9095,4353252,10185,184.0,2026-06-05T06:46:23,
lora_cka_mid_l01_seed0,lora,cbis_ddsm,0,0.3145,0.2830,0.2252,420.9174,4353252,10185,98.8,2026-06-05T06:48:02,
lora_cka_mid_l10_seed0,lora,isic2018_test,0,0.9546,0.0402,0.9156,4.0465,4353252,10217,298.9,2026-06-05T06:53:03,
lora_cka_mid_l10_seed0,lora,ph2,0,0.9554,0.0290,0.9160,2.8336,4353252,10217,61.5,2026-06-05T06:54:04,
lora_cka_mid_l10_seed0,lora,busi,0,0.8049,0.1507,0.6960,126.6052,4353252,10217,183.8,2026-06-05T06:57:08,
lora_cka_mid_l10_seed0,lora,cbis_ddsm,0,0.4682,0.2985,0.3560,275.1844,4353252,10217,96.9,2026-06-05T06:58:45,
lora_cka_mid_l1_seed0,lora,isic2018_test,0,0.9571,0.0382,0.9200,3.5518,4353252,10249,298.8,2026-06-05T07:03:46,
lora_cka_mid_l1_seed0,lora,ph2,0,0.9590,0.0248,0.9222,2.1525,4353252,10249,60.8,2026-06-05T07:04:47,
lora_cka_mid_l1_seed0,lora,busi,0,0.7584,0.1911,0.6424,205.7527,4353252,10249,183.8,2026-06-05T07:07:51,
lora_cka_mid_l1_seed0,lora,cbis_ddsm,0,0.4333,0.3133,0.3297,275.2246,4353252,10249,97.9,2026-06-05T07:09:29,
