run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6067,0,10152,302.6,2026-06-05T10:49:14,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0325,0,10152,41.3,2026-06-05T10:50:39,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4210,0,10152,120.1,2026-06-05T10:52:40,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2826,0,10152,121.0,2026-06-05T10:54:43,
lora_cka_oodonly_early_l01_seed0,lora,isic2018_test,0,0.9555,0.0418,0.9174,4.1250,4353252,10185,193.1,2026-06-05T10:58:25,
lora_cka_oodonly_early_l01_seed0,lora,ph2,0,0.9576,0.0250,0.9198,2.2315,4353252,10153,45.5,2026-06-05T10:59:14,
lora_cka_oodonly_early_l01_seed0,lora,busi,0,0.7250,0.2063,0.6042,246.7976,4353252,10153,123.5,2026-06-05T11:01:18,
lora_cka_oodonly_early_l01_seed0,lora,cbis_ddsm,0,0.4241,0.2828,0.3119,343.3168,4353252,10153,70.2,2026-06-05T11:02:28,
lora_cka_oodonly_early_l10_seed0,lora,isic2018_test,0,0.9536,0.0405,0.9138,4.0033,4353252,10185,194.7,2026-06-05T11:05:59,
lora_cka_oodonly_early_l10_seed0,lora,ph2,0,0.9589,0.0247,0.9222,1.9923,4353252,10185,51.5,2026-06-05T11:06:54,
lora_cka_oodonly_early_l10_seed0,lora,busi,0,0.3983,0.3417,0.3104,201.3186,4353252,10185,112.1,2026-06-05T11:08:47,
lora_cka_oodonly_early_l10_seed0,lora,cbis_ddsm,0,0.0340,0.1211,0.0226,624.7157,4353252,10185,57.4,2026-06-05T11:09:44,
lora_cka_oodonly_early_l1_seed0,lora,isic2018_test,0,0.9569,0.0415,0.9200,4.0278,4353252,10217,207.0,2026-06-05T11:13:30,
lora_cka_oodonly_early_l1_seed0,lora,ph2,0,0.9585,0.0240,0.9213,1.9406,4353252,10217,39.7,2026-06-05T11:14:13,
lora_cka_oodonly_early_l1_seed0,lora,busi,0,0.7834,0.1668,0.6702,190.4761,4353252,10217,126.4,2026-06-05T11:16:20,
lora_cka_oodonly_early_l1_seed0,lora,cbis_ddsm,0,0.4361,0.2876,0.3239,310.4052,4353252,10217,70.4,2026-06-05T11:17:36,
