run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6067,0,10152,185.4,2026-06-05T11:57:45,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0325,0,10152,37.8,2026-06-05T11:58:25,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4210,0,10152,108.2,2026-06-05T12:00:14,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2826,0,10152,58.3,2026-06-05T12:01:12,
lora_cka_oodonly_late_l01_seed0,lora,isic2018_test,0,0.9572,0.0395,0.9203,3.7072,4353252,10185,181.8,2026-06-05T12:04:25,
lora_cka_oodonly_late_l01_seed0,lora,ph2,0,0.9576,0.0257,0.9198,2.2917,4353252,10153,38.0,2026-06-05T12:05:11,
lora_cka_oodonly_late_l01_seed0,lora,busi,0,0.7759,0.1766,0.6619,187.9856,4353252,10153,110.6,2026-06-05T12:07:02,
lora_cka_oodonly_late_l01_seed0,lora,cbis_ddsm,0,0.4311,0.2906,0.3210,296.7063,4353252,10153,60.3,2026-06-05T12:08:03,
lora_cka_oodonly_late_l10_seed0,lora,isic2018_test,0,0.9559,0.0391,0.9178,3.6272,4353252,10185,180.9,2026-06-05T12:11:11,
lora_cka_oodonly_late_l10_seed0,lora,ph2,0,0.9594,0.0237,0.9229,1.8885,4353252,10185,38.3,2026-06-05T12:11:51,
lora_cka_oodonly_late_l10_seed0,lora,busi,0,0.8127,0.1447,0.7047,117.1535,4353252,10185,111.5,2026-06-05T12:13:42,
lora_cka_oodonly_late_l10_seed0,lora,cbis_ddsm,0,0.5360,0.2424,0.4021,252.7038,4353252,10185,60.8,2026-06-05T12:14:44,
lora_cka_oodonly_late_l1_seed0,lora,isic2018_test,0,0.9577,0.0392,0.9211,3.5138,4353252,10217,181.1,2026-06-05T12:17:52,
lora_cka_oodonly_late_l1_seed0,lora,ph2,0,0.9589,0.0250,0.9221,2.1874,4353252,10217,38.5,2026-06-05T12:18:33,
lora_cka_oodonly_late_l1_seed0,lora,busi,0,0.7825,0.1618,0.6670,187.7679,4353252,10217,112.1,2026-06-05T12:20:26,
lora_cka_oodonly_late_l1_seed0,lora,cbis_ddsm,0,0.5004,0.2750,0.3784,299.7971,4353252,10217,64.4,2026-06-05T12:21:31,
