run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6067,0,10152,192.2,2026-06-05T11:26:02,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0325,0,10152,39.8,2026-06-05T11:26:47,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4210,0,10152,113.1,2026-06-05T11:28:41,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2826,0,10152,69.6,2026-06-05T11:29:56,
lora_cka_oodonly_mid_l01_seed0,lora,isic2018_test,0,0.9570,0.0390,0.9199,3.7129,4353252,10185,185.1,2026-06-05T11:33:14,
lora_cka_oodonly_mid_l01_seed0,lora,ph2,0,0.9582,0.0231,0.9206,1.8381,4353252,10153,40.3,2026-06-05T11:33:56,
lora_cka_oodonly_mid_l01_seed0,lora,busi,0,0.7911,0.1748,0.6822,152.7745,4353252,10153,113.6,2026-06-05T11:35:50,
lora_cka_oodonly_mid_l01_seed0,lora,cbis_ddsm,0,0.4378,0.3168,0.3352,310.2823,4353252,10153,68.1,2026-06-05T11:37:00,
lora_cka_oodonly_mid_l10_seed0,lora,isic2018_test,0,0.9502,0.0414,0.9077,4.5758,4353252,10185,184.4,2026-06-05T11:40:19,
lora_cka_oodonly_mid_l10_seed0,lora,ph2,0,0.9542,0.0272,0.9137,3.1963,4353252,10185,45.9,2026-06-05T11:41:12,
lora_cka_oodonly_mid_l10_seed0,lora,busi,0,0.7519,0.1628,0.6258,105.7750,4353252,10185,115.7,2026-06-05T11:43:08,
lora_cka_oodonly_mid_l10_seed0,lora,cbis_ddsm,0,0.2414,0.2828,0.1725,293.8234,4353252,10185,59.6,2026-06-05T11:44:08,
lora_cka_oodonly_mid_l1_seed0,lora,isic2018_test,0,0.9578,0.0391,0.9213,3.6542,4353252,10217,190.8,2026-06-05T11:47:36,
lora_cka_oodonly_mid_l1_seed0,lora,ph2,0,0.9590,0.0228,0.9221,1.9597,4353252,10217,39.7,2026-06-05T11:48:18,
lora_cka_oodonly_mid_l1_seed0,lora,busi,0,0.7911,0.1624,0.6793,183.8336,4353252,10217,111.9,2026-06-05T11:50:11,
lora_cka_oodonly_mid_l1_seed0,lora,cbis_ddsm,0,0.3637,0.2922,0.2654,443.5006,4353252,10217,65.4,2026-06-05T11:51:16,
