method,budget,n_seeds,id_dice_mean,id_dice_std,far_ood_dice_mean,far_ood_dice_std
decoder_only,50,3,0.9377666666666666,0.0009504384952922231,0.83955,0.007321372822087385
decoder_only,250,3,0.9410666666666666,0.0007371114795832223,0.84585,0.003804931011201138
decoder_only,1000,3,0.9462333333333334,0.0003214550253664468,0.8567,0.0024253865671268813
decoder_only,2595,1,0.9487,,0.86085,
lora,50,3,0.9415,0.0024269322199023243,0.7895666666666666,0.026709283654439923
lora,250,3,0.9467333333333333,0.0009504384952921959,0.6698166666666667,0.031021457627476774
lora,1000,3,0.9547666666666667,0.002193931022920572,0.7743833333333333,0.019290952110596667
lora,2595,1,0.9545,,0.6376999999999999,
lora_encoder_only,50,3,0.9427333333333333,0.00283607710285407,0.8105166666666667,0.0010066445913694327
lora_encoder_only,250,3,0.9540333333333333,0.0010214368964029951,0.8381833333333333,0.01106405591694715
lora_encoder_only,1000,3,0.9574000000000001,0.0009165151389911519,0.856,0.0025431279952059173
lora_encoder_only,2595,1,0.9577,,0.86435,
