arm,dataset,n,dice_mean,dice_std,per_seed
no_cka,isic2018_test,3,0.9492333333333334,0.0015502687938977538,0:0.9510;1:0.9486;2:0.9481
no_cka,ph2,3,0.9511,0.0011357816691600568,0:0.9516;1:0.9498;2:0.9519
no_cka,busi,3,0.7744666666666666,0.03203659365995908,0:0.8109;1:0.7507;2:0.7618
no_cka,cbis_ddsm,3,0.43703333333333333,0.09486792573537875,0:0.5422;1:0.3579;2:0.4110
late,isic2018_test,3,0.9517666666666665,0.0017502380790433729,0:0.9518;1:0.9535;2:0.9500
late,ph2,3,0.9542333333333334,0.0015044378795195656,0:0.9550;1:0.9552;2:0.9525
late,busi,3,0.8258000000000001,0.0075286120898874435,0:0.8192;1:0.8340;2:0.8242
late,cbis_ddsm,3,0.5411666666666667,0.09468549695351096,0:0.4825;1:0.6504;2:0.4906
enc,isic2018_test,3,0.9481333333333334,0.00050332229568472,0:0.9486;1:0.9482;2:0.9476
enc,ph2,3,0.9520666666666667,0.0020816659994661343,0:0.9544;1:0.9514;2:0.9504
enc,busi,3,0.7248666666666667,0.023349803710809476,0:0.7196;1:0.7046;2:0.7504
enc,cbis_ddsm,3,0.3567,0.059101353622400245,0:0.3831;1:0.2890;2:0.3980
both,isic2018_test,3,0.9501333333333334,0.0014571661996263011,0:0.9503;1:0.9486;2:0.9515
both,ph2,3,0.9523666666666667,0.0016623276853055438,0:0.9506;1:0.9526;2:0.9539
both,busi,3,0.8337,0.0267119823300331,0:0.8614;1:0.8081;2:0.8316
both,cbis_ddsm,3,0.626,0.09768689779085009,0:0.7252;1:0.5299;2:0.6229
