arm_a,arm_b,dataset,level,n_pairs,n_seeds,mean_delta,median_delta,frac_improved,p_raw,p_holm
late,no_cka,isic2018_test,20,3000,3,0.003109324333333334,0.0020094999999999974,0.581,2.5297268286847727e-19,5.059453657369545e-19
late,no_cka,ph2,20,600,3,0.003992051666666665,0.0025815000000000143,0.5866666666666667,6.6788278335928175e-09,6.6788278335928175e-09
late,no_cka,busi,20,1941,3,0.052563031427099435,0.011527999999999983,0.5749613601236476,1.2698446647440926e-31,5.0793786589763705e-31
late,no_cka,cbis_ddsm,20,1086,3,0.08752903130755064,0.08766299999999999,0.641804788213628,1.3169875027700473e-21,3.950962508310142e-21
both,late,isic2018_test,20,3000,3,-0.0032923240000000006,-0.0022140000000000493,0.412,9.149548715464708e-24,2.744864614639412e-23
both,late,ph2,20,600,3,-0.0025643483333333303,-0.00037999999999999146,0.48333333333333334,0.01727513311892766,0.01727513311892766
both,late,busi,20,1941,3,0.009556558475012881,0.004649000000000014,0.5486862442040186,1.0406991164398022e-05,2.0813982328796044e-05
both,late,cbis_ddsm,20,1086,3,0.08785412246777163,0.062404499999999974,0.6390423572744015,5.2626011817293804e-30,2.1050404726917521e-29
both,no_cka,isic2018_test,20,3000,3,-0.00018299966666666733,-0.0004489999999999772,0.489,0.06309485580645413,0.12618971161290826
both,no_cka,ph2,20,600,3,0.0014277033333333345,0.0008779999999999344,0.52,0.0657757090832522,0.12618971161290826
both,no_cka,busi,20,1941,3,0.06211958990211232,0.014639000000000069,0.6110252447192169,2.4786060747785552e-52,7.435818224335666e-52
both,no_cka,cbis_ddsm,20,1086,3,0.1753831537753223,0.14307200000000003,0.7615101289134438,4.692660650607727e-80,1.8770642602430908e-79
enc,no_cka,isic2018_test,20,3000,3,0.001097516666666666,0.00032650000000000734,0.5136666666666667,0.0013079419498699828,0.0013079419498699828
enc,no_cka,ph2,20,600,3,0.003910974999999999,0.0031364999999999865,0.595,7.560626700749271e-09,1.5121253401498542e-08
enc,no_cka,busi,20,1941,3,-0.03726648583204534,-0.018854999999999955,0.3565172591447707,7.73839970653395e-52,3.09535988261358e-51
enc,no_cka,cbis_ddsm,20,1086,3,-0.054720348987108654,-0.029247999999999996,0.43370165745856354,1.0101877842882423e-09,3.030563352864727e-09
