dataset,level,n_pairs,n_seeds,mean_delta,median_delta,frac_improved,p_raw,p_holm
isic2018_test,20,3000,3,0.003109324333333334,0.0020094999999999974,0.581,2.5297268286847727e-19,5.059453657369545e-19
ph2,20,600,3,0.003992051666666665,0.0025815000000000143,0.5866666666666667,6.6788278335928175e-09,6.6788278335928175e-09
busi,20,1941,3,0.052563031427099435,0.011527999999999983,0.5749613601236476,1.2698446647440926e-31,5.0793786589763705e-31
cbis_ddsm,20,1086,3,0.08752903130755064,0.08766299999999999,0.641804788213628,1.3169875027700473e-21,3.950962508310142e-21
isic2018_test,50,3000,3,-0.0007496506666666658,-0.0005304999999999893,0.487,0.0421714094757068,0.0843428189514136
ph2,50,600,3,-0.0006909716666666654,-0.00023200000000000998,0.49166666666666664,0.48305454176007356,0.48305454176007356
busi,50,1941,3,0.04598104379185987,0.014074000000000031,0.5914477073673364,1.7240337668155084e-32,6.896135067262034e-32
cbis_ddsm,50,1086,3,0.05229904972375691,0.054205,0.6049723756906077,1.3734849380941686e-13,4.1204548142825057e-13
isic2018_test,100,3000,3,-0.0130349,-0.009790999999999994,0.3373333333333333,1.532354275631509e-91,6.129417102526036e-91
ph2,100,600,3,-0.011067194999999998,-0.008765999999999996,0.335,1.5159602761064753e-22,3.0319205522129505e-22
busi,100,1941,3,0.03774712879958784,0.019844000000000084,0.6079340546110252,1.910565717218317e-34,5.731697151654951e-34
cbis_ddsm,100,1086,3,0.007824046961325964,0.014769500000000019,0.5506445672191529,0.014265274015808634,0.014265274015808634
isic2018_test,200,3000,3,-0.03312542,-0.02671399999999996,0.24133333333333334,7.312639464175806e-226,2.9250557856703225e-225
ph2,200,600,3,-0.03335099166666666,-0.02622150000000001,0.17166666666666666,1.4315279184479388e-67,4.294583755343816e-67
busi,200,1941,3,0.01722013652756311,0.010355000000000003,0.5651725914477074,1.2112909544497173e-13,2.4225819088994345e-13
cbis_ddsm,200,1086,3,0.0014945497237569068,0.004120500000000004,0.5359116022099447,0.36860861865409245,0.36860861865409245
