curve,dataset,level,dice_mean,dice_std,n_seeds
no-CKA pm0,isic2018_test,0,0.9556333333333334,0.000981495457622392,3
no-CKA pm0,isic2018_test,20,0.9415999999999999,0.0016822603841260652,3
no-CKA pm0,isic2018_test,50,0.9039666666666667,0.0038030689361794627,3
no-CKA pm0,isic2018_test,100,0.8521666666666666,0.007460786374996574,3
no-CKA pm0,isic2018_test,200,0.7866666666666666,0.012339097751996797,3
no-CKA pm0,ph2,0,0.9569666666666666,0.0012503332889007934,3
no-CKA pm0,ph2,20,0.9384,0.00140000000000004,3
no-CKA pm0,ph2,50,0.9044666666666666,0.0038850139424889984,3
no-CKA pm0,ph2,100,0.86,0.009006664199358198,3
no-CKA pm0,ph2,200,0.8197000000000001,0.014500000000000068,3
no-CKA pm0,busi,0,0.7801333333333332,0.0024337899115028866,3
no-CKA pm0,busi,20,0.754,0.002233830790368946,3
no-CKA pm0,busi,50,0.6974666666666667,0.0017785762095938863,3
no-CKA pm0,busi,100,0.6186,0.0035510561809129343,3
no-CKA pm0,busi,200,0.49029999999999996,0.005629387178015053,3
no-CKA pm0,cbis_ddsm,0,0.5094333333333333,0.010059986746180792,3
no-CKA pm0,cbis_ddsm,20,0.47816666666666663,0.015464906509039537,3
no-CKA pm0,cbis_ddsm,50,0.38830000000000003,0.013214007719083563,3
no-CKA pm0,cbis_ddsm,100,0.2703333333333333,0.0137932350568434,3
no-CKA pm0,cbis_ddsm,200,0.14673333333333335,0.003982880029995042,3
no-CKA pm20,isic2018_test,0,0.9492333333333334,0.001550268793897764,3
no-CKA pm20,isic2018_test,20,0.9392,0.0008185352771872618,3
no-CKA pm20,isic2018_test,50,0.9114,0.004450842616853601,3
no-CKA pm20,isic2018_test,100,0.8628666666666667,0.00915769257691765,3
no-CKA pm20,isic2018_test,200,0.7974,0.01535675747024736,3
no-CKA pm20,ph2,0,0.9511,0.0011357816691600665,3
no-CKA pm20,ph2,20,0.9378666666666667,0.002759226944876651,3
no-CKA pm20,ph2,50,0.9127666666666666,0.0060715182066212485,3
no-CKA pm20,ph2,100,0.8717333333333332,0.008565239829294524,3
no-CKA pm20,ph2,200,0.8338333333333333,0.008000208330620737,3
no-CKA pm20,busi,0,0.7744666666666666,0.03203659365995905,3
no-CKA pm20,busi,20,0.7585666666666667,0.033762454492132735,3
no-CKA pm20,busi,50,0.7162333333333333,0.03470120074771667,3
no-CKA pm20,busi,100,0.6346666666666666,0.029855038659049378,3
no-CKA pm20,busi,200,0.501,0.01690798627867909,3
no-CKA pm20,cbis_ddsm,0,0.43703333333333333,0.09486792573537875,3
no-CKA pm20,cbis_ddsm,20,0.4193,0.08253587098952793,3
no-CKA pm20,cbis_ddsm,50,0.35799999999999993,0.061552904074462636,3
no-CKA pm20,cbis_ddsm,100,0.24723333333333333,0.02939138195684805,3
no-CKA pm20,cbis_ddsm,200,0.13273333333333334,0.008207516879868922,3
no-CKA rand100,isic2018_test,0,0.9411,0.0022715633383201036,3
no-CKA rand100,isic2018_test,20,0.9366333333333333,0.003927255190757656,3
no-CKA rand100,isic2018_test,50,0.9256000000000001,0.0057192656871315,3
no-CKA rand100,isic2018_test,100,0.9018333333333333,0.005781291666516534,3
no-CKA rand100,isic2018_test,200,0.8478333333333333,0.0016010413278030892,3
no-CKA rand100,ph2,0,0.9495999999999999,0.0037986839826445067,3
no-CKA rand100,ph2,20,0.9442,0.005068530358989697,3
no-CKA rand100,ph2,50,0.9329000000000001,0.005650663677834705,3
no-CKA rand100,ph2,100,0.9096333333333333,0.004728988616325187,3
no-CKA rand100,ph2,200,0.8769333333333332,0.004027819923151157,3
no-CKA rand100,busi,0,0.7467333333333332,0.03180524065831498,3
no-CKA rand100,busi,20,0.7396333333333334,0.03600837865460388,3
no-CKA rand100,busi,50,0.7155333333333332,0.04040499144082734,3
no-CKA rand100,busi,100,0.6542,0.04458149840460726,3
no-CKA rand100,busi,200,0.4965,0.032255697171197556,3
no-CKA rand100,cbis_ddsm,0,0.2142666666666667,0.03426460759053477,3
no-CKA rand100,cbis_ddsm,20,0.22440000000000002,0.020297044119772713,3
no-CKA rand100,cbis_ddsm,50,0.21459999999999999,0.020167052337909958,3
no-CKA rand100,cbis_ddsm,100,0.16756666666666667,0.03010736344041658,3
no-CKA rand100,cbis_ddsm,200,0.09486666666666667,0.019828346712051755,3
CKA pm0,isic2018_test,0,0.953,,1
CKA pm0,isic2018_test,20,0.9359,,1
CKA pm0,isic2018_test,50,0.8913,,1
CKA pm0,isic2018_test,100,0.8218,,1
CKA pm0,isic2018_test,200,0.7199,,1
CKA pm0,ph2,0,0.9521,,1
CKA pm0,ph2,20,0.9318,,1
CKA pm0,ph2,50,0.8926,,1
CKA pm0,ph2,100,0.8304,,1
CKA pm0,ph2,200,0.7476,,1
CKA pm0,busi,0,0.8706,,1
CKA pm0,busi,20,0.862,,1
CKA pm0,busi,50,0.8046,,1
CKA pm0,busi,100,0.7023,,1
CKA pm0,busi,200,0.5448,,1
CKA pm0,cbis_ddsm,0,0.779,,1
CKA pm0,cbis_ddsm,20,0.7142,,1
