run_name,dataset,n,ece,iou_pred_mean,iou_mean
decoder_only_seed0,isic2018_test,1000,0.3032137393333777,0.5092517418265343,0.812465481159912
decoder_only_seed0,ph2,200,0.2748774525527401,0.5517292562127113,0.8266067087654514
decoder_only_seed0,busi,647,0.17791543384857977,0.4610489522102627,0.6389643860588425
decoder_only_seed0,cbis_ddsm,362,0.20286500114267594,0.4666835675582043,0.2638185664155283
full_ft_seed0,isic2018_test,1000,0.28915275308622035,0.5394496057927608,0.8286023588789811
full_ft_seed0,ph2,200,0.2837596135200421,0.5607388301193714,0.8444984436394134
full_ft_seed0,busi,647,0.10201577649387636,0.5470384553742741,0.6461559318309523
full_ft_seed0,cbis_ddsm,362,0.2118586623030706,0.48343924535901506,0.27158058305594446
lora_seed0,isic2018_test,1000,0.3500275034662551,0.5073964160084724,0.8574239194747274
lora_seed0,ph2,200,0.3561960460304573,0.5141010960936546,0.8702971421241119
lora_seed0,busi,647,0.059158631841166036,0.5069818480121666,0.5661404798533326
lora_seed0,cbis_ddsm,362,0.30646832802239854,0.501276208797871,0.1955333374929011
vpt_deep_seed0,isic2018_test,1000,0.29986695628417875,0.537181152433157,0.8370481087173357
vpt_deep_seed0,ph2,200,0.30277657021005094,0.5425608165562152,0.8453373867662661
vpt_deep_seed0,busi,647,0.08807304709707788,0.5047204670434389,0.5912780467078128
vpt_deep_seed0,cbis_ddsm,362,0.27651467863373497,0.4892027376435738,0.21333848685409254
vpt_shallow_seed0,isic2018_test,1000,0.3161424494729466,0.5177876605391503,0.8339301100120968
vpt_shallow_seed0,ph2,200,0.3271221964020321,0.5189537705481052,0.8460759669501374
vpt_shallow_seed0,busi,647,0.06835358688614329,0.5287646889870834,0.5971182758732267
vpt_shallow_seed0,cbis_ddsm,362,0.3088169046553779,0.5364891253617587,0.22767222070638077
zero_shot,isic2018_test,1000,0.1987612672993358,0.5542426029741764,0.7530038702735123
zero_shot,ph2,200,0.20194190547995494,0.5697698184847831,0.7717117239647382
zero_shot,busi,647,0.07011592775065441,0.5349336378449082,0.5747933390152885
zero_shot,cbis_ddsm,362,0.20487540668361628,0.4685847763363169,0.26370936965270064
