run_name,dataset,detector,threshold,auroc,auprc,n,n_fail
decoder_only_seed0,isic2018_test,iou_pred,0.5,0.7505020080321285,0.00983807888489633,1000,4
decoder_only_seed0,isic2018_test,drift,0.5,0.7889056224899599,0.011146579898375327,1000,4
decoder_only_seed0,isic2018_test,iou_pred,0.3,,,1000,0
decoder_only_seed0,isic2018_test,drift,0.3,,,1000,0
decoder_only_seed0,isic2018_test,iou_pred,0.4,,,1000,0
decoder_only_seed0,isic2018_test,drift,0.4,,,1000,0
decoder_only_seed0,isic2018_test,iou_pred,0.6,0.7247878003165013,0.014973028220396515,1000,7
decoder_only_seed0,isic2018_test,drift,0.6,0.7699611566681053,0.016239713544097582,1000,7
decoder_only_seed0,isic2018_test,iou_pred,0.7,0.6779849583908149,0.0378858403222407,1000,23
decoder_only_seed0,isic2018_test,drift,0.7,0.6520849094388322,0.03410088513120217,1000,23
decoder_only_seed0,ph2,iou_pred,0.5,,,200,0
decoder_only_seed0,ph2,drift,0.5,,,200,0
decoder_only_seed0,ph2,iou_pred,0.3,,,200,0
decoder_only_seed0,ph2,drift,0.3,,,200,0
decoder_only_seed0,ph2,iou_pred,0.4,,,200,0
decoder_only_seed0,ph2,drift,0.4,,,200,0
decoder_only_seed0,ph2,iou_pred,0.6,,,200,0
decoder_only_seed0,ph2,drift,0.6,,,200,0
decoder_only_seed0,ph2,iou_pred,0.7,,,200,0
decoder_only_seed0,ph2,drift,0.7,,,200,0
decoder_only_seed0,busi,iou_pred,0.5,0.4798634517327802,0.054966438293504505,647,38
decoder_only_seed0,busi,drift,0.5,0.7861031890070003,0.1417600886724431,647,38
decoder_only_seed0,busi,iou_pred,0.3,0.4814756671899529,0.016870157442398122,647,10
decoder_only_seed0,busi,drift,0.3,0.7631083202511774,0.03442202546464805,647,10
decoder_only_seed0,busi,iou_pred,0.4,0.4645933014354067,0.028248209666246304,647,20
decoder_only_seed0,busi,drift,0.4,0.7878787878787878,0.0727521619319623,647,20
decoder_only_seed0,busi,iou_pred,0.6,0.4742494391675815,0.10170706711713474,647,73
decoder_only_seed0,busi,drift,0.6,0.7780774187389623,0.26305446489981316,647,73
decoder_only_seed0,busi,iou_pred,0.7,0.4562400142020238,0.17758135078695553,647,131
decoder_only_seed0,busi,drift,0.7,0.730679330137878,0.3682968191088454,647,131
decoder_only_seed0,cbis_ddsm,iou_pred,0.5,0.5754304546677428,0.7289078888556938,362,236
decoder_only_seed0,cbis_ddsm,drift,0.5,0.5546139359698682,0.7123835867415074,362,236
decoder_only_seed0,cbis_ddsm,iou_pred,0.3,0.6113159937888198,0.5273241433678587,362,138
decoder_only_seed0,cbis_ddsm,drift,0.3,0.5127458592132506,0.46281933789912666,362,138
decoder_only_seed0,cbis_ddsm,iou_pred,0.4,0.5850673194614443,0.6354941351915939,362,190
decoder_only_seed0,cbis_ddsm,drift,0.4,0.515452876376989,0.5746768450658909,362,190
decoder_only_seed0,cbis_ddsm,iou_pred,0.6,0.5475161542577273,0.8033543126626986,362,273
decoder_only_seed0,cbis_ddsm,drift,0.6,0.5705642671934806,0.8132413597405653,362,273
decoder_only_seed0,cbis_ddsm,iou_pred,0.7,0.522993762993763,0.9095376662883589,362,325
decoder_only_seed0,cbis_ddsm,drift,0.7,0.6820790020790021,0.9477340932427125,362,325
full_ft_seed0,isic2018_test,iou_pred,0.5,0.8948743718592965,0.04607627590915742,1000,5
full_ft_seed0,isic2018_test,drift,0.5,0.4928643216080402,0.0061977769745031625,1000,5
full_ft_seed0,isic2018_test,iou_pred,0.3,0.8338338338338338,0.005988023952095809,1000,1
full_ft_seed0,isic2018_test,drift,0.3,0.6446446446446447,0.0028089887640449437,1000,1
full_ft_seed0,isic2018_test,iou_pred,0.4,0.8767570281124498,0.0349320112804823,1000,4
full_ft_seed0,isic2018_test,drift,0.4,0.607429718875502,0.006450540720203642,1000,4
full_ft_seed0,isic2018_test,iou_pred,0.6,0.7149871405190554,0.14829084904505177,1000,13
full_ft_seed0,isic2018_test,drift,0.6,0.4962200919647728,0.013439679616257336,1000,13
full_ft_seed0,isic2018_test,iou_pred,0.7,0.7470015840687938,0.17779656556677145,1000,18
full_ft_seed0,isic2018_test,drift,0.7,0.47821905408463455,0.019710487577902315,1000,18
full_ft_seed0,ph2,iou_pred,0.5,,,200,0
full_ft_seed0,ph2,drift,0.5,,,200,0
full_ft_seed0,ph2,iou_pred,0.3,,,200,0
full_ft_seed0,ph2,drift,0.3,,,200,0
full_ft_seed0,ph2,iou_pred,0.4,,,200,0
full_ft_seed0,ph2,drift,0.4,,,200,0
full_ft_seed0,ph2,iou_pred,0.6,,,200,0
full_ft_seed0,ph2,drift,0.6,,,200,0
full_ft_seed0,ph2,iou_pred,0.7,,,200,0
full_ft_seed0,ph2,drift,0.7,,,200,0
full_ft_seed0,busi,iou_pred,0.5,0.8684366363995263,0.42680209582793405,647,51
full_ft_seed0,busi,drift,0.5,0.22746414001842347,0.04820868315185456,647,51
full_ft_seed0,busi,iou_pred,0.3,0.8742076069730587,0.2008449644426314,647,16
full_ft_seed0,busi,drift,0.3,0.13114104595879555,0.014212139924312448,647,16
full_ft_seed0,busi,iou_pred,0.4,0.8611239326102008,0.27101648859948024,647,28
full_ft_seed0,busi,drift,0.4,0.18353334871913224,0.025543732688091132,647,28
full_ft_seed0,busi,iou_pred,0.6,0.8531784005468216,0.5124730988093763,647,77
full_ft_seed0,busi,drift,0.6,0.2704260651629073,0.07685517305553662,647,77
full_ft_seed0,busi,iou_pred,0.7,0.7741286491286491,0.5792036886273939,647,143
full_ft_seed0,busi,drift,0.7,0.3451548451548452,0.16054135746354786,647,143
full_ft_seed0,cbis_ddsm,iou_pred,0.5,0.7857554417413573,0.8575741951782021,362,220
full_ft_seed0,cbis_ddsm,drift,0.5,0.3209987195902689,0.5095996847121821,362,220
full_ft_seed0,cbis_ddsm,iou_pred,0.3,0.7791514381058319,0.7172312499889976,362,145
full_ft_seed0,cbis_ddsm,drift,0.3,0.3180041315747656,0.3056803733291177,362,145
full_ft_seed0,cbis_ddsm,iou_pred,0.4,0.7737047898338221,0.7664992429209689,362,176
full_ft_seed0,cbis_ddsm,drift,0.4,0.3269183773216031,0.3971792539072506,362,176
full_ft_seed0,cbis_ddsm,iou_pred,0.6,0.8021197205462052,0.9201822174511172,362,268
full_ft_seed0,cbis_ddsm,drift,0.6,0.33824229914258497,0.6623471919148611,362,268
full_ft_seed0,cbis_ddsm,iou_pred,0.7,0.7908434788948021,0.9609423985567953,362,319
full_ft_seed0,cbis_ddsm,drift,0.7,0.3513887876357804,0.8449082468343554,362,319
lora_encoder_only_r28_all_seed0,isic2018_test,iou_pred,0.5,0.9467871485943775,0.3495358320319278,1000,4
lora_encoder_only_r28_all_seed0,isic2018_test,drift,0.5,0.17218875502008033,0.00288797460577371,1000,4
lora_encoder_only_r28_all_seed0,isic2018_test,iou_pred,0.3,0.9473947895791583,0.09313725490196079,1000,2
lora_encoder_only_r28_all_seed0,isic2018_test,drift,0.3,0.2625250501002004,0.0020101830446658036,1000,2
