run_name,dataset,detector,threshold,n,n_fail,base_rate,aurc,flagged,k,recall,precision,residual_risk
decoder_only_seed0,busi,drift,0.5,647,38,0.05873261205564142,0.017478142901131696,0.1,65,0.23684210526315788,0.13846153846153847,0.04982817869415808
decoder_only_seed0,busi,drift,0.5,647,38,0.05873261205564142,0.017478142901131696,0.2,130,0.5526315789473685,0.16153846153846155,0.03288201160541586
decoder_only_seed0,busi,drift,0.5,647,38,0.05873261205564142,0.017478142901131696,0.3,195,0.7368421052631579,0.14358974358974358,0.022123893805309734
decoder_only_seed0,busi,drift,0.5,647,38,0.05873261205564142,0.017478142901131696,0.5,324,0.9210526315789473,0.10802469135802469,0.009287925696594427
decoder_only_seed0,busi,iou_pred,0.5,647,38,0.05873261205564142,0.05188869200498426,0.1,65,0.07894736842105263,0.046153846153846156,0.06013745704467354
decoder_only_seed0,busi,iou_pred,0.5,647,38,0.05873261205564142,0.05188869200498426,0.2,130,0.10526315789473684,0.03076923076923077,0.06576402321083172
decoder_only_seed0,busi,iou_pred,0.5,647,38,0.05873261205564142,0.05188869200498426,0.3,195,0.18421052631578946,0.035897435897435895,0.06858407079646017
decoder_only_seed0,busi,iou_pred,0.5,647,38,0.05873261205564142,0.05188869200498426,0.5,324,0.3684210526315789,0.043209876543209874,0.07430340557275542
decoder_only_seed0,cbis_ddsm,drift,0.5,362,236,0.6519337016574586,0.607703956473107,0.1,37,0.11864406779661017,0.7567567567567568,0.64
decoder_only_seed0,cbis_ddsm,drift,0.5,362,236,0.6519337016574586,0.607703956473107,0.2,73,0.21610169491525424,0.6986301369863014,0.6401384083044983
decoder_only_seed0,cbis_ddsm,drift,0.5,362,236,0.6519337016574586,0.607703956473107,0.3,109,0.326271186440678,0.7064220183486238,0.6284584980237155
decoder_only_seed0,cbis_ddsm,drift,0.5,362,236,0.6519337016574586,0.607703956473107,0.5,181,0.5169491525423728,0.6740331491712708,0.6298342541436464
decoder_only_seed0,cbis_ddsm,iou_pred,0.5,362,236,0.6519337016574586,0.5982171893033352,0.1,37,0.13559322033898305,0.8648648648648649,0.6276923076923077
decoder_only_seed0,cbis_ddsm,iou_pred,0.5,362,236,0.6519337016574586,0.5982171893033352,0.2,73,0.23728813559322035,0.7671232876712328,0.6228373702422145
decoder_only_seed0,cbis_ddsm,iou_pred,0.5,362,236,0.6519337016574586,0.5982171893033352,0.3,109,0.3389830508474576,0.7339449541284404,0.616600790513834
decoder_only_seed0,cbis_ddsm,iou_pred,0.5,362,236,0.6519337016574586,0.5982171893033352,0.5,181,0.5127118644067796,0.6685082872928176,0.6353591160220995
full_ft_seed0,busi,drift,0.5,647,51,0.07882534775888717,0.15574877339964466,0.1,65,0.0,0.0,0.08762886597938144
full_ft_seed0,busi,drift,0.5,647,51,0.07882534775888717,0.15574877339964466,0.2,130,0.0392156862745098,0.015384615384615385,0.09477756286266925
full_ft_seed0,busi,drift,0.5,647,51,0.07882534775888717,0.15574877339964466,0.3,195,0.058823529411764705,0.015384615384615385,0.10619469026548672
full_ft_seed0,busi,drift,0.5,647,51,0.07882534775888717,0.15574877339964466,0.5,324,0.1568627450980392,0.024691358024691357,0.13312693498452013
full_ft_seed0,busi,iou_pred,0.5,647,51,0.07882534775888717,0.017287196315821474,0.1,65,0.47058823529411764,0.36923076923076925,0.04639175257731959
full_ft_seed0,busi,iou_pred,0.5,647,51,0.07882534775888717,0.017287196315821474,0.2,130,0.7254901960784313,0.2846153846153846,0.027079303675048357
full_ft_seed0,busi,iou_pred,0.5,647,51,0.07882534775888717,0.017287196315821474,0.3,195,0.8431372549019608,0.2205128205128205,0.017699115044247787
full_ft_seed0,busi,iou_pred,0.5,647,51,0.07882534775888717,0.017287196315821474,0.5,324,0.9411764705882353,0.14814814814814814,0.009287925696594427
full_ft_seed0,cbis_ddsm,drift,0.5,362,220,0.6077348066298343,0.7470890870481133,0.1,37,0.06818181818181818,0.40540540540540543,0.6307692307692307
full_ft_seed0,cbis_ddsm,drift,0.5,362,220,0.6077348066298343,0.7470890870481133,0.2,73,0.11818181818181818,0.3561643835616438,0.671280276816609
full_ft_seed0,cbis_ddsm,drift,0.5,362,220,0.6077348066298343,0.7470890870481133,0.3,109,0.2,0.4036697247706422,0.6956521739130435
full_ft_seed0,cbis_ddsm,drift,0.5,362,220,0.6077348066298343,0.7470890870481133,0.5,181,0.41363636363636364,0.5027624309392266,0.712707182320442
