run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
decoder_only_n1000_seed0,decoder_only,isic2018_test,0,0.9461,0.0433,0.9006,5.8266,4058340,5289,295.2,2026-09-11T12:12:13,pm0
decoder_only_n1000_seed0,decoder_only,ph2,0,0.9430,0.0325,0.8938,6.1610,4058340,5289,45.3,2026-09-11T12:12:58,pm0
decoder_only_n1000_seed0,decoder_only,busi,0,0.8934,0.0662,0.8130,13.7334,4058340,5289,132.1,2026-09-11T12:15:11,pm0
decoder_only_n1000_seed0,decoder_only,cbis_ddsm,0,0.8249,0.1289,0.7168,8.3969,4058340,5289,69.0,2026-09-11T12:16:20,pm0
decoder_only_n250_seed0,decoder_only,isic2018_test,0,0.9419,0.0437,0.8930,6.7659,4058340,5289,219.0,2026-09-11T12:20:28,pm0
decoder_only_n250_seed0,decoder_only,ph2,0,0.9414,0.0324,0.8910,6.5376,4058340,5289,44.3,2026-09-11T12:21:12,pm0
decoder_only_n250_seed0,decoder_only,busi,0,0.8911,0.0622,0.8087,13.0320,4058340,5289,132.3,2026-09-11T12:23:25,pm0
decoder_only_n250_seed0,decoder_only,cbis_ddsm,0,0.8076,0.1345,0.6934,9.4571,4058340,5289,69.6,2026-09-11T12:24:34,pm0
decoder_only_n50_seed0,decoder_only,isic2018_test,0,0.9387,0.0448,0.8875,7.0886,4058340,5289,216.3,2026-09-11T12:28:20,pm0
decoder_only_n50_seed0,decoder_only,ph2,0,0.9357,0.0361,0.8811,7.5010,4058340,5289,45.6,2026-09-11T12:29:06,pm0
decoder_only_n50_seed0,decoder_only,busi,0,0.8893,0.0656,0.8061,14.3640,4058340,5289,132.4,2026-09-11T12:31:18,pm0
decoder_only_n50_seed0,decoder_only,cbis_ddsm,0,0.8053,0.1367,0.6905,9.6295,4058340,5289,69.7,2026-09-11T12:32:28,pm0
lora_encoder_only_n1000_seed0,lora_encoder_only,isic2018_test,0,0.9566,0.0377,0.9190,3.5091,4128768,5305,226.8,2026-09-11T12:36:24,pm0
lora_encoder_only_n1000_seed0,lora_encoder_only,ph2,0,0.9587,0.0246,0.9218,2.3127,4128768,5305,45.7,2026-09-11T12:37:10,pm0
lora_encoder_only_n1000_seed0,lora_encoder_only,busi,0,0.9066,0.0633,0.8346,10.8526,4128768,5305,137.0,2026-09-11T12:39:27,pm0
lora_encoder_only_n1000_seed0,lora_encoder_only,cbis_ddsm,0,0.8112,0.1253,0.6962,9.4457,4128768,5305,71.3,2026-09-11T12:40:38,pm0
lora_encoder_only_n250_seed0,lora_encoder_only,isic2018_test,0,0.9552,0.0390,0.9166,3.6948,4128768,5305,227.9,2026-09-11T12:44:34,pm0
lora_encoder_only_n250_seed0,lora_encoder_only,ph2,0,0.9564,0.0262,0.9176,3.0696,4128768,5305,46.0,2026-09-11T12:45:21,pm0
lora_encoder_only_n250_seed0,lora_encoder_only,busi,0,0.8980,0.0646,0.8204,11.1955,4128768,5305,137.0,2026-09-11T12:47:38,pm0
lora_encoder_only_n250_seed0,lora_encoder_only,cbis_ddsm,0,0.7529,0.1428,0.6208,12.3888,4128768,5305,72.0,2026-09-11T12:48:50,pm0
lora_encoder_only_n50_seed0,lora_encoder_only,isic2018_test,0,0.9413,0.0438,0.8920,5.7385,4128768,5305,227.7,2026-09-11T12:52:46,pm0
lora_encoder_only_n50_seed0,lora_encoder_only,ph2,0,0.9484,0.0272,0.9031,3.8934,4128768,5305,46.1,2026-09-11T12:53:33,pm0
lora_encoder_only_n50_seed0,lora_encoder_only,busi,0,0.8911,0.0685,0.8095,12.1768,4128768,5305,135.7,2026-09-11T12:55:48,pm0
lora_encoder_only_n50_seed0,lora_encoder_only,cbis_ddsm,0,0.7318,0.1522,0.5962,13.8740,4128768,5305,72.0,2026-09-11T12:57:00,pm0
lora_n1000_seed0,lora,isic2018_test,0,0.9565,0.0394,0.9190,3.6882,4353252,5291,224.3,2026-09-11T13:00:52,pm0
lora_n1000_seed0,lora,ph2,0,0.9543,0.0291,0.9139,2.8991,4353252,5291,45.6,2026-09-11T13:01:38,pm0
lora_n1000_seed0,lora,busi,0,0.8814,0.0880,0.7971,32.0173,4353252,5291,134.0,2026-09-11T13:03:52,pm0
lora_n1000_seed0,lora,cbis_ddsm,0,0.6390,0.2578,0.5157,201.1499,4353252,5291,70.7,2026-09-11T13:05:03,pm0
lora_n250_seed0,lora,isic2018_test,0,0.9458,0.0497,0.9009,6.5071,4353252,5291,219.3,2026-09-11T13:08:51,pm0
lora_n250_seed0,lora,ph2,0,0.9478,0.0352,0.9027,4.1028,4353252,5291,44.1,2026-09-11T13:09:35,pm0
lora_n250_seed0,lora,busi,0,0.8198,0.1317,0.7128,136.7209,4353252,5291,129.8,2026-09-11T13:11:45,pm0
lora_n250_seed0,lora,cbis_ddsm,0,0.4495,0.2743,0.3311,263.5593,4353252,5291,69.2,2026-09-11T13:12:54,pm0
lora_n50_seed0,lora,isic2018_test,0,0.9428,0.0423,0.8945,6.2724,4353252,5291,226.1,2026-09-11T13:16:49,pm0
lora_n50_seed0,lora,ph2,0,0.9480,0.0272,0.9023,4.1074,4353252,5291,45.5,2026-09-11T13:17:34,pm0
lora_n50_seed0,lora,busi,0,0.8811,0.0695,0.7936,22.3040,4353252,5291,135.7,2026-09-11T13:19:50,pm0
lora_n50_seed0,lora,cbis_ddsm,0,0.7547,0.1520,0.6254,28.9115,4353252,5291,68.9,2026-09-11T13:20:59,pm0
