run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.8517,0.0983,0.7530,29.8526,0,5663,248.9,2026-09-11T02:20:59,drift;pm50
zero_shot,zero_shot,ph2,0,0.8659,0.0810,0.7717,30.6848,0,5663,46.1,2026-09-11T02:21:46,drift;pm50
zero_shot,zero_shot,busi,0,0.7072,0.1863,0.5748,37.4001,0,5663,137.1,2026-09-11T02:24:03,drift;pm50
zero_shot,zero_shot,cbis_ddsm,0,0.3682,0.2793,0.2637,41.8878,0,5663,71.6,2026-09-11T02:25:15,drift;pm50
decoder_only_seed0,decoder_only,isic2018_test,0,0.8929,0.0672,0.8125,15.5620,4058340,5679,227.9,2026-09-11T02:29:25,drift;pm50
decoder_only_seed0,decoder_only,ph2,0,0.9032,0.0471,0.8266,14.9633,4058340,5679,45.7,2026-09-11T02:30:10,drift;pm50
decoder_only_seed0,decoder_only,busi,0,0.7658,0.1429,0.6390,31.9080,4058340,5679,134.6,2026-09-11T02:32:25,drift;pm50
decoder_only_seed0,decoder_only,cbis_ddsm,0,0.3783,0.2499,0.2638,56.0430,4058340,5679,70.5,2026-09-11T02:33:36,drift;pm50
vpt_shallow_seed0,vpt_shallow,isic2018_test,0,0.9065,0.0629,0.8339,12.5451,4066020,5703,302.3,2026-09-11T02:38:47,drift;pm50
vpt_shallow_seed0,vpt_shallow,ph2,0,0.9152,0.0408,0.8461,11.3102,4066020,5703,60.5,2026-09-11T02:39:47,drift;pm50
vpt_shallow_seed0,vpt_shallow,busi,0,0.7277,0.1740,0.5971,150.3224,4066020,5703,185.2,2026-09-11T02:42:53,drift;pm50
vpt_shallow_seed0,vpt_shallow,cbis_ddsm,0,0.3319,0.2508,0.2277,209.6808,4066020,5703,95.6,2026-09-11T02:44:28,drift;pm50
vpt_deep_seed0,vpt_deep,isic2018_test,0,0.9086,0.0578,0.8370,11.9641,4150500,5703,326.5,2026-09-11T02:51:01,drift;pm50
vpt_deep_seed0,vpt_deep,ph2,0,0.9149,0.0385,0.8453,10.4009,4150500,5703,61.0,2026-09-11T02:52:03,drift;pm50
vpt_deep_seed0,vpt_deep,busi,0,0.7216,0.1817,0.5913,163.1530,4150500,5703,184.8,2026-09-11T02:55:08,drift;pm50
vpt_deep_seed0,vpt_deep,cbis_ddsm,0,0.3121,0.2536,0.2133,246.2526,4150500,5703,95.9,2026-09-11T02:56:44,drift;pm50
lora_seed0,lora,isic2018_test,0,0.9203,0.0637,0.8574,8.6068,4353252,5705,306.5,2026-09-11T03:05:12,drift;pm50
lora_seed0,lora,ph2,0,0.9294,0.0373,0.8703,7.4450,4353252,5705,63.7,2026-09-11T03:06:16,drift;pm50
lora_seed0,lora,busi,0,0.6916,0.2199,0.5661,183.1025,4353252,5705,192.1,2026-09-11T03:09:28,drift;pm50
lora_seed0,lora,cbis_ddsm,0,0.2862,0.2555,0.1955,313.8931,4353252,5705,100.4,2026-09-11T03:11:09,drift;pm50
full_ft_seed0,full_ft,isic2018_test,0,0.9022,0.0738,0.8286,12.9453,93729252,6045,299.1,2026-09-11T03:19:23,drift;pm50
full_ft_seed0,full_ft,ph2,0,0.9141,0.0417,0.8445,11.1669,93729252,6045,59.8,2026-09-11T03:20:26,drift;pm50
full_ft_seed0,full_ft,busi,0,0.7678,0.1610,0.6462,29.7245,93729252,6045,181.5,2026-09-11T03:23:28,drift;pm50
full_ft_seed0,full_ft,cbis_ddsm,0,0.3842,0.2619,0.2716,43.6328,93729252,6045,96.1,2026-09-11T03:25:04,drift;pm50
lora_encoder_only_r28_all_seed0,lora_encoder_only,isic2018_test,0,0.9070,0.0691,0.8359,11.8834,4128768,5719,307.7,2026-09-12T05:30:12,drift;pm50
lora_encoder_only_r28_all_seed0,lora_encoder_only,ph2,0,0.9205,0.0410,0.8552,9.2909,4128768,5719,61.9,2026-09-12T05:31:14,drift;pm50
lora_encoder_only_r28_all_seed0,lora_encoder_only,busi,0,0.7872,0.1436,0.6685,26.7189,4128768,5719,188.5,2026-09-12T05:34:22,drift;pm50
lora_encoder_only_r28_all_seed0,lora_encoder_only,cbis_ddsm,0,0.3756,0.2671,0.2659,53.0014,4128768,5719,97.0,2026-09-12T05:35:59,drift;pm50
