run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6065,0,2793,597.8,2026-05-20T16:38:55,
decoder_only_seed0,decoder_only,isic2018_test,0,0.9487,0.0433,0.9052,5.4745,4058340,2808,600.9,2026-05-20T17:01:22,
vpt_shallow_seed0,vpt_shallow,isic2018_test,0,0.9457,0.0437,0.8998,5.6399,4066020,2808,612.9,2026-05-20T17:23:34,
vpt_deep_seed0,vpt_deep,isic2018_test,0,0.9472,0.0430,0.9024,5.4259,4150500,2809,603.7,2026-05-20T17:47:58,
lora_seed0,lora,isic2018_test,0,0.9545,0.0417,0.9157,4.0848,4353252,2810,593.6,2026-05-20T18:10:15,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,2793,102.5,2026-05-20T16:40:37,
decoder_only_seed0,decoder_only,ph2,0,0.9466,0.0330,0.9003,5.2645,4058340,2808,103.5,2026-05-20T17:03:06,
vpt_shallow_seed0,vpt_shallow,ph2,0,0.9436,0.0345,0.8952,5.3270,4066020,2808,101.7,2026-05-20T17:25:16,
vpt_deep_seed0,vpt_deep,ph2,0,0.9458,0.0307,0.8987,4.5991,4150500,2809,104.0,2026-05-20T17:49:42,
lora_seed0,lora,ph2,0,0.9557,0.0264,0.9162,2.6823,4353252,2810,102.7,2026-05-20T18:11:58,
full_ft_seed0,full_ft,isic2018_test,0,0.9609,0.0355,0.9267,2.5780,93729252,3150,613.4,2026-05-20T18:48:15,
full_ft_seed0,full_ft,ph2,0,0.9583,0.0254,0.9209,2.4894,93729252,3150,101.3,2026-05-20T18:49:57,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4210,0,2793,330.8,2026-05-20T16:46:08,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2828,0,2793,240.4,2026-05-20T16:50:08,
decoder_only_seed0,decoder_only,busi,0,0.8944,0.0670,0.8148,15.3093,4058340,2808,322.1,2026-05-20T17:08:28,
decoder_only_seed0,decoder_only,cbis_ddsm,0,0.8273,0.1292,0.7203,9.9662,4058340,2808,232.6,2026-05-20T17:12:21,
vpt_shallow_seed0,vpt_shallow,busi,0,0.8112,0.1391,0.7018,138.6118,4066020,2808,318.2,2026-05-20T17:30:34,
vpt_shallow_seed0,vpt_shallow,cbis_ddsm,0,0.6388,0.2159,0.5019,112.3205,4066020,2808,230.0,2026-05-20T17:34:24,
vpt_deep_seed0,vpt_deep,busi,0,0.7995,0.1574,0.6900,153.2311,4150500,2809,327.7,2026-05-20T17:55:10,
vpt_deep_seed0,vpt_deep,cbis_ddsm,0,0.5744,0.2457,0.4409,166.9854,4150500,2809,235.0,2026-05-20T17:59:05,
lora_seed0,lora,busi,0,0.7775,0.1894,0.6687,162.7199,4353252,2810,323.4,2026-05-20T18:17:22,
lora_seed0,lora,cbis_ddsm,0,0.4979,0.2864,0.3787,234.1675,4353252,2810,232.1,2026-05-20T18:21:14,
full_ft_seed0,full_ft,busi,0,0.8991,0.0654,0.8224,12.0904,93729252,3150,318.2,2026-05-20T18:55:15,
full_ft_seed0,full_ft,cbis_ddsm,0,0.8280,0.1246,0.7205,8.2130,93729252,3150,229.3,2026-05-20T18:59:04,
