run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10509,439.1,2026-05-23T00:39:40,
decoder_only_seed0_pm20,decoder_only,isic2018_test,0,0.9462,0.0417,0.9005,5.1796,4058340,10509,439.1,2026-05-23T00:39:41,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10509,89.6,2026-05-23T00:41:10,
decoder_only_seed0_pm20,decoder_only,ph2,0,0.9473,0.0277,0.9011,3.8764,4058340,10509,89.6,2026-05-23T00:41:10,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10509,263.2,2026-05-23T00:45:34,
decoder_only_seed0_pm20,decoder_only,busi,0,0.8828,0.0730,0.7966,19.3036,4058340,10509,263.2,2026-05-23T00:45:34,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10509,142.3,2026-05-23T00:47:57,
decoder_only_seed0_pm20,decoder_only,cbis_ddsm,0,0.7872,0.1340,0.6646,12.4971,4058340,10509,142.3,2026-05-23T00:47:57,
full_ft_seed0_pm20,full_ft,isic2018_test,0,0.9553,0.0368,0.9166,3.4770,93729252,10185,298.2,2026-05-23T00:53:00,
full_ft_seed0_pm20,full_ft,ph2,0,0.9543,0.0259,0.9138,3.1940,93729252,10185,60.8,2026-05-23T00:54:01,
full_ft_seed0_pm20,full_ft,busi,0,0.8935,0.0579,0.8121,12.4107,93729252,10185,182.1,2026-05-23T00:57:03,
full_ft_seed0_pm20,full_ft,cbis_ddsm,0,0.8015,0.1275,0.6831,12.0643,93729252,10185,97.8,2026-05-23T00:58:41,
lora_seed0_pm20,lora,isic2018_test,0,0.9510,0.0405,0.9091,4.2314,4353252,10218,302.2,2026-05-23T01:03:45,
lora_seed0_pm20,lora,ph2,0,0.9516,0.0278,0.9090,2.7155,4353252,10218,62.2,2026-05-23T01:04:48,
lora_seed0_pm20,lora,busi,0,0.8109,0.1644,0.7078,137.3915,4353252,10218,188.2,2026-05-23T01:07:56,
lora_seed0_pm20,lora,cbis_ddsm,0,0.5422,0.2757,0.4173,188.5616,4353252,10218,99.9,2026-05-23T01:09:36,
vpt_deep_seed0_pm20,vpt_deep,isic2018_test,0,0.9444,0.0444,0.8976,6.1729,4150500,10249,301.2,2026-05-23T01:14:43,
vpt_deep_seed0_pm20,vpt_deep,ph2,0,0.9444,0.0315,0.8962,5.0168,4150500,10249,61.1,2026-05-23T01:15:44,
vpt_deep_seed0_pm20,vpt_deep,busi,0,0.8136,0.1398,0.7054,115.1968,4150500,10249,183.8,2026-05-23T01:18:48,
vpt_deep_seed0_pm20,vpt_deep,cbis_ddsm,0,0.5767,0.2459,0.4430,112.0014,4150500,10249,96.8,2026-05-23T01:20:25,
vpt_shallow_seed0_pm20,vpt_shallow,isic2018_test,0,0.9429,0.0441,0.8949,6.5633,4066020,10281,295.5,2026-05-23T01:25:22,
vpt_shallow_seed0_pm20,vpt_shallow,ph2,0,0.9421,0.0333,0.8922,5.3745,4066020,10153,60.7,2026-05-23T01:26:23,
vpt_shallow_seed0_pm20,vpt_shallow,busi,0,0.7701,0.1721,0.6527,156.6096,4066020,10153,181.8,2026-05-23T01:29:25,
vpt_shallow_seed0_pm20,vpt_shallow,cbis_ddsm,0,0.4167,0.2604,0.2987,193.5206,4066020,10153,97.2,2026-05-23T01:31:02,
