run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10509,433.3,2026-05-23T15:40:38,
decoder_only_seed0_rand100,decoder_only,isic2018_test,0,0.9384,0.0443,0.8868,7.3943,4058340,10509,433.3,2026-05-23T15:40:38,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10509,87.5,2026-05-23T15:42:06,
decoder_only_seed0_rand100,decoder_only,ph2,0,0.9408,0.0283,0.8895,5.2988,4058340,10509,87.5,2026-05-23T15:42:06,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10509,258.5,2026-05-23T15:46:25,
decoder_only_seed0_rand100,decoder_only,busi,0,0.8322,0.1164,0.7272,52.8669,4058340,10509,258.5,2026-05-23T15:46:25,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10509,133.1,2026-05-23T15:48:38,
decoder_only_seed0_rand100,decoder_only,cbis_ddsm,0,0.6527,0.2069,0.5160,38.6170,4058340,10509,133.1,2026-05-23T15:48:38,
full_ft_seed0_rand100,full_ft,isic2018_test,0,0.9446,0.0420,0.8978,5.1703,93729252,10185,300.6,2026-05-23T15:53:43,
full_ft_seed0_rand100,full_ft,ph2,0,0.9468,0.0364,0.9012,4.3558,93729252,10185,61.2,2026-05-23T15:54:44,
full_ft_seed0_rand100,full_ft,busi,0,0.8783,0.0781,0.7905,17.4000,93729252,10185,183.3,2026-05-23T15:57:48,
full_ft_seed0_rand100,full_ft,cbis_ddsm,0,0.7064,0.1766,0.5706,28.6866,93729252,10185,96.7,2026-05-23T15:59:24,
lora_seed0_rand100,lora,isic2018_test,0,0.9421,0.0451,0.8937,6.0043,4353252,10218,301.4,2026-05-23T16:04:27,
lora_seed0_rand100,lora,ph2,0,0.9510,0.0304,0.9082,3.0445,4353252,10218,61.8,2026-05-23T16:05:29,
lora_seed0_rand100,lora,busi,0,0.7474,0.1959,0.6296,162.0816,4353252,10218,187.2,2026-05-23T16:08:37,
lora_seed0_rand100,lora,cbis_ddsm,0,0.1785,0.2514,0.1247,347.0515,4353252,10218,97.4,2026-05-23T16:10:14,
vpt_deep_seed0_rand100,vpt_deep,isic2018_test,0,0.9330,0.0490,0.8780,9.3809,4150500,10249,295.8,2026-05-23T16:15:11,
vpt_deep_seed0_rand100,vpt_deep,ph2,0,0.9368,0.0330,0.8829,6.7329,4150500,10249,60.5,2026-05-23T16:16:12,
vpt_deep_seed0_rand100,vpt_deep,busi,0,0.7631,0.1731,0.6440,125.4209,4150500,10249,181.9,2026-05-23T16:19:14,
vpt_deep_seed0_rand100,vpt_deep,cbis_ddsm,0,0.4049,0.2514,0.2868,156.5321,4150500,10249,96.8,2026-05-23T16:20:51,
vpt_shallow_seed0_rand100,vpt_shallow,isic2018_test,0,0.9316,0.0490,0.8755,9.2488,4066020,10156,294.1,2026-05-23T16:25:47,
vpt_shallow_seed0_rand100,vpt_shallow,ph2,0,0.9382,0.0330,0.8852,5.9031,4066020,10156,60.9,2026-05-23T16:26:48,
vpt_shallow_seed0_rand100,vpt_shallow,busi,0,0.6723,0.2178,0.5434,204.5973,4066020,10156,181.6,2026-05-23T16:29:50,
vpt_shallow_seed0_rand100,vpt_shallow,cbis_ddsm,0,0.2496,0.2641,0.1736,299.1473,4066020,10156,96.4,2026-05-23T16:31:26,
