run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10509,440.2,2026-05-25T15:23:02,
decoder_only_seed1,decoder_only,isic2018_test,1,0.9488,0.0436,0.9054,5.2671,4058340,10509,440.2,2026-05-25T15:23:02,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10509,88.2,2026-05-25T15:24:31,
decoder_only_seed1,decoder_only,ph2,1,0.9467,0.0322,0.9005,5.0834,4058340,10509,88.2,2026-05-25T15:24:31,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10509,260.1,2026-05-25T15:28:51,
decoder_only_seed1,decoder_only,busi,1,0.8933,0.0676,0.8131,15.0818,4058340,10509,260.1,2026-05-25T15:28:51,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10509,134.3,2026-05-25T15:31:05,
decoder_only_seed1,decoder_only,cbis_ddsm,1,0.8283,0.1297,0.7220,9.9984,4058340,10509,134.3,2026-05-25T15:31:05,
full_ft_seed1,full_ft,isic2018_test,1,0.9613,0.0360,0.9276,2.5936,93729252,10185,310.5,2026-05-25T15:36:17,
full_ft_seed1,full_ft,ph2,1,0.9582,0.0262,0.9209,2.6899,93729252,10185,63.5,2026-05-25T15:37:21,
full_ft_seed1,full_ft,busi,1,0.9020,0.0654,0.8271,12.1802,93729252,10185,191.3,2026-05-25T15:40:32,
full_ft_seed1,full_ft,cbis_ddsm,1,0.8296,0.1221,0.7223,8.1205,93729252,10185,96.1,2026-05-25T15:42:08,
lora_seed1,lora,isic2018_test,1,0.9562,0.0401,0.9185,3.7415,4353252,10218,299.9,2026-05-25T15:47:10,
lora_seed1,lora,ph2,1,0.9582,0.0247,0.9208,2.1736,4353252,10218,61.2,2026-05-25T15:48:11,
lora_seed1,lora,busi,1,0.7823,0.1832,0.6739,188.6540,4353252,10218,186.6,2026-05-25T15:51:18,
lora_seed1,lora,cbis_ddsm,1,0.5164,0.2485,0.3846,230.4851,4353252,10218,101.7,2026-05-25T15:53:00,
vpt_deep_seed1,vpt_deep,isic2018_test,1,0.9469,0.0430,0.9020,5.5288,4150500,10249,316.6,2026-05-25T15:58:18,
vpt_deep_seed1,vpt_deep,ph2,1,0.9454,0.0327,0.8981,4.9755,4150500,10249,61.1,2026-05-25T15:59:19,
vpt_deep_seed1,vpt_deep,busi,1,0.8070,0.1450,0.6969,131.9667,4150500,10249,183.1,2026-05-25T16:02:22,
vpt_deep_seed1,vpt_deep,cbis_ddsm,1,0.5805,0.2389,0.4456,142.9753,4150500,10249,104.6,2026-05-25T16:04:07,
vpt_shallow_seed1,vpt_shallow,isic2018_test,1,0.9448,0.0443,0.8984,6.2555,4066020,10281,320.8,2026-05-25T16:09:29,
vpt_shallow_seed1,vpt_shallow,ph2,1,0.9428,0.0330,0.8936,5.3092,4066020,10153,66.6,2026-05-25T16:10:36,
vpt_shallow_seed1,vpt_shallow,busi,1,0.7816,0.1676,0.6677,174.1987,4066020,10153,197.4,2026-05-25T16:13:53,
vpt_shallow_seed1,vpt_shallow,cbis_ddsm,1,0.5284,0.2503,0.3969,242.2675,4066020,10153,104.9,2026-05-25T16:15:38,
