run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10509,434.6,2026-05-26T03:09:49,
decoder_only_seed2_pm20,decoder_only,isic2018_test,2,0.9459,0.0433,0.9003,5.9002,4058340,10509,434.6,2026-05-26T03:09:49,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10509,89.3,2026-05-26T03:11:18,
decoder_only_seed2_pm20,decoder_only,ph2,2,0.9415,0.0332,0.8912,6.0833,4058340,10509,89.3,2026-05-26T03:11:18,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10509,262.2,2026-05-26T03:15:40,
decoder_only_seed2_pm20,decoder_only,busi,2,0.8796,0.0722,0.7914,19.9369,4058340,10509,262.2,2026-05-26T03:15:41,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10509,134.6,2026-05-26T03:17:55,
decoder_only_seed2_pm20,decoder_only,cbis_ddsm,2,0.7785,0.1308,0.6520,14.1037,4058340,10509,134.6,2026-05-26T03:17:55,
full_ft_seed2_pm20,full_ft,isic2018_test,2,0.9569,0.0370,0.9195,3.1609,93729252,10185,299.3,2026-05-26T03:22:59,
full_ft_seed2_pm20,full_ft,ph2,2,0.9541,0.0288,0.9135,3.0639,93729252,10185,61.2,2026-05-26T03:24:00,
full_ft_seed2_pm20,full_ft,busi,2,0.9021,0.0587,0.8264,11.8042,93729252,10185,183.3,2026-05-26T03:27:03,
full_ft_seed2_pm20,full_ft,cbis_ddsm,2,0.8020,0.1261,0.6834,9.5366,93729252,10185,97.1,2026-05-26T03:28:41,
lora_seed2_pm20,lora,isic2018_test,2,0.9481,0.0436,0.9042,4.8306,4353252,10218,303.9,2026-05-26T03:33:46,
lora_seed2_pm20,lora,ph2,2,0.9519,0.0277,0.9094,2.9047,4353252,10218,61.9,2026-05-26T03:34:48,
lora_seed2_pm20,lora,busi,2,0.7618,0.2005,0.6507,200.2285,4353252,10218,187.2,2026-05-26T03:37:55,
lora_seed2_pm20,lora,cbis_ddsm,2,0.4110,0.2769,0.2983,253.0886,4353252,10218,99.3,2026-05-26T03:39:35,
vpt_deep_seed2_pm20,vpt_deep,isic2018_test,2,0.9430,0.0448,0.8951,6.4137,4150500,10249,297.7,2026-05-26T03:44:34,
vpt_deep_seed2_pm20,vpt_deep,ph2,2,0.9431,0.0317,0.8940,4.9047,4150500,10249,60.2,2026-05-26T03:45:34,
vpt_deep_seed2_pm20,vpt_deep,busi,2,0.7473,0.1910,0.6274,187.1427,4150500,10249,182.1,2026-05-26T03:48:36,
vpt_deep_seed2_pm20,vpt_deep,cbis_ddsm,2,0.4935,0.2722,0.3695,162.2428,4150500,10249,96.3,2026-05-26T03:50:13,
vpt_shallow_seed2_pm20,vpt_shallow,isic2018_test,2,0.9430,0.0453,0.8952,6.5817,4066020,10156,294.8,2026-05-26T03:55:09,
vpt_shallow_seed2_pm20,vpt_shallow,ph2,2,0.9425,0.0326,0.8930,5.3935,4066020,10156,60.4,2026-05-26T03:56:10,
vpt_shallow_seed2_pm20,vpt_shallow,busi,2,0.7271,0.1983,0.6043,212.3064,4066020,10156,181.7,2026-05-26T03:59:12,
vpt_shallow_seed2_pm20,vpt_shallow,cbis_ddsm,2,0.4992,0.2724,0.3751,203.3580,4066020,10156,96.8,2026-05-26T04:00:49,
