run_name,method,dataset,seed,dice_mean,dice_std,iou_mean,hd95_mean,trainable_params,peak_mem_mb,wall_clock_s,timestamp,notes
zero_shot,zero_shot,isic2018_test,0,0.9072,0.0642,0.8359,14.6066,0,10509,435.7,2026-05-26T04:08:35,
decoder_only_seed2_rand100,decoder_only,isic2018_test,2,0.9369,0.0461,0.8844,7.3935,4058340,10509,435.7,2026-05-26T04:08:35,
zero_shot,zero_shot,ph2,0,0.9054,0.0755,0.8343,17.0328,0,10509,87.6,2026-05-26T04:10:02,
decoder_only_seed2_rand100,decoder_only,ph2,2,0.9358,0.0336,0.8812,6.3020,4058340,10509,87.6,2026-05-26T04:10:02,
zero_shot,zero_shot,busi,0,0.8234,0.0884,0.7082,20.4212,0,10509,258.2,2026-05-26T04:14:21,
decoder_only_seed2_rand100,decoder_only,busi,2,0.8205,0.1265,0.7120,49.4747,4058340,10509,258.2,2026-05-26T04:14:21,
zero_shot,zero_shot,cbis_ddsm,0,0.6924,0.1640,0.5506,15.2832,0,10509,133.4,2026-05-26T04:16:34,
decoder_only_seed2_rand100,decoder_only,cbis_ddsm,2,0.5539,0.2417,0.4206,71.7677,4058340,10509,133.4,2026-05-26T04:16:34,
full_ft_seed2_rand100,full_ft,isic2018_test,2,0.9482,0.0407,0.9040,4.3382,93729252,10185,295.2,2026-05-26T04:21:33,
full_ft_seed2_rand100,full_ft,ph2,2,0.9485,0.0301,0.9035,3.9725,93729252,10185,60.3,2026-05-26T04:22:34,
full_ft_seed2_rand100,full_ft,busi,2,0.8902,0.0675,0.8080,13.4146,93729252,10185,181.3,2026-05-26T04:25:35,
full_ft_seed2_rand100,full_ft,cbis_ddsm,2,0.7183,0.1680,0.5833,31.6852,93729252,10185,96.5,2026-05-26T04:27:12,
lora_seed2_rand100,lora,isic2018_test,2,0.9427,0.0464,0.8949,6.1486,4353252,10218,301.4,2026-05-26T04:32:15,
lora_seed2_rand100,lora,ph2,2,0.9525,0.0302,0.9108,3.1300,4353252,10218,61.4,2026-05-26T04:33:17,
lora_seed2_rand100,lora,busi,2,0.7782,0.1797,0.6663,123.3536,4353252,10218,186.4,2026-05-26T04:36:23,
lora_seed2_rand100,lora,cbis_ddsm,2,0.2175,0.2320,0.1457,305.5239,4353252,10218,100.2,2026-05-26T04:38:03,
vpt_deep_seed2_rand100,vpt_deep,isic2018_test,2,0.9346,0.0468,0.8806,8.6929,4150500,10249,296.0,2026-05-26T04:43:01,
vpt_deep_seed2_rand100,vpt_deep,ph2,2,0.9356,0.0343,0.8808,6.3029,4150500,10249,60.7,2026-05-26T04:44:02,
vpt_deep_seed2_rand100,vpt_deep,busi,2,0.7163,0.1937,0.5892,153.0472,4150500,10249,183.4,2026-05-26T04:47:05,
vpt_deep_seed2_rand100,vpt_deep,cbis_ddsm,2,0.2964,0.2487,0.2029,291.3614,4150500,10249,98.6,2026-05-26T04:48:44,
vpt_shallow_seed2_rand100,vpt_shallow,isic2018_test,2,0.9326,0.0491,0.8773,8.8032,4066020,10153,303.9,2026-05-26T04:53:50,
vpt_shallow_seed2_rand100,vpt_shallow,ph2,2,0.9375,0.0342,0.8841,5.8842,4066020,10153,61.6,2026-05-26T04:54:52,
vpt_shallow_seed2_rand100,vpt_shallow,busi,2,0.6968,0.2128,0.5702,176.2447,4066020,10153,184.4,2026-05-26T04:57:56,
vpt_shallow_seed2_rand100,vpt_shallow,cbis_ddsm,2,0.3198,0.2319,0.2152,192.0827,4066020,10153,98.2,2026-05-26T04:59:34,
