dataset,method,training,dice_pm0,dice_pm20,dice_pm50,dice_pm100,dice_pm200,iou_pm0,iou_pm20,iou_pm50,iou_pm100,iou_pm200,hd95_pm0,hd95_pm20,hd95_pm50,hd95_pm100,hd95_pm200
isic2018_test,zero_shot,pm=0,0.9072,0.9206,0.9144,0.8708,0.7673,0.8359,0.8582,0.8478,0.7796,0.6435,14.6066,12.8267,15.0608,29.3376,84.8684
ph2,zero_shot,pm=0,0.9054,0.915,0.9107,0.8756,0.7986,0.8343,0.8499,0.8423,0.7867,0.6796,17.0328,15.029,17.2084,31.2376,78.7735
busi,zero_shot,pm=0,0.8234,0.8504,0.8384,0.7579,0.6017,0.7082,0.7487,0.7323,0.6264,0.4533,20.4212,18.2506,21.6023,44.3726,111.6249
cbis_ddsm,zero_shot,pm=0,0.6924,0.7483,0.657,0.3905,0.1889,0.5506,0.616,0.5143,0.2648,0.1133,15.2832,12.3965,19.5954,55.304,126.8457
isic2018_test,decoder_only,pm=0,0.9487,0.9345,0.889,0.8159,0.7075,0.9052,0.8808,0.8065,0.7011,0.5692,5.4743,8.0141,18.2396,42.1,97.6379
ph2,decoder_only,pm=0,0.9466,0.9305,0.89,0.82,0.7269,0.9003,0.8722,0.8058,0.7042,0.5902,5.2648,8.3123,19.2791,43.9061,93.7621
busi,decoder_only,pm=0,0.8944,0.8684,0.7759,0.6547,0.4888,0.8148,0.7746,0.6457,0.504,0.3429,15.31,21.0603,37.4314,68.2635,136.6492
cbis_ddsm,decoder_only,pm=0,0.8273,0.7118,0.5075,0.3035,0.157,0.7203,0.5675,0.3536,0.1878,0.0888,9.9662,15.8943,38.6508,75.0915,147.2585
isic2018_test,vpt_shallow,pm=0,0.9457,0.9337,0.8938,0.83,0.7306,0.8998,0.8792,0.8138,0.7203,0.5972,5.6406,7.9048,17.0062,37.3908,86.1035
ph2,vpt_shallow,pm=0,0.9436,0.9288,0.8939,0.8312,0.7485,0.8952,0.8693,0.8123,0.7203,0.6171,5.327,8.204,17.7401,39.2039,82.3133
busi,vpt_shallow,pm=0,0.8112,0.7939,0.7324,0.6391,0.4889,0.7018,0.677,0.5968,0.4901,0.344,138.6121,149.9699,168.3917,194.4667,266.1377
cbis_ddsm,vpt_shallow,pm=0,0.6388,0.5717,0.4314,0.2762,0.1461,0.5019,0.4246,0.291,0.1702,0.0827,112.3206,124.6597,133.7533,165.5111,217.6816
isic2018_test,vpt_deep,pm=0,0.9472,0.934,0.8947,0.8302,0.7256,0.9024,0.8799,0.8151,0.7208,0.5908,5.4259,7.718,16.5627,36.7035,86.9926
ph2,vpt_deep,pm=0,0.9458,0.9318,0.8978,0.8352,0.7463,0.8987,0.8743,0.8182,0.7261,0.6156,4.5991,7.3103,16.2274,36.8145,81.7687
busi,vpt_deep,pm=0,0.7995,0.7804,0.7171,0.6165,0.4695,0.69,0.6622,0.5812,0.4669,0.3271,153.2309,161.533,176.4183,207.0812,266.6203
cbis_ddsm,vpt_deep,pm=0,0.5744,0.5201,0.3888,0.254,0.1336,0.4409,0.3759,0.257,0.1539,0.0749,166.9847,182.8512,200.0783,217.6177,239.7853
isic2018_test,lora,pm=0,0.9545,0.941,0.9052,0.8584,0.7978,0.9157,0.8917,0.8316,0.7602,0.6802,4.0847,5.7085,12.4936,25.7548,50.3248
ph2,lora,pm=0,0.9557,0.939,0.9078,0.8692,0.8342,0.9162,0.8865,0.8341,0.7746,0.7262,2.6823,4.9481,11.922,23.0167,35.737
busi,lora,pm=0,0.7775,0.7515,0.6967,0.6165,0.487,0.6687,0.6313,0.561,0.4692,0.3425,162.7202,174.8427,199.0004,221.4162,277.0012
cbis_ddsm,lora,pm=0,0.4979,0.4752,0.3898,0.2736,0.1433,0.3788,0.3444,0.2631,0.1714,0.0817,234.167,242.7106,252.2567,263.0343,284.7425
isic2018_test,full_ft,pm=0,0.9609,0.9486,0.9022,0.8263,0.7098,0.9267,0.9051,0.8272,0.7155,0.5741,2.578,4.0922,12.7385,35.2081,92.2343
ph2,full_ft,pm=0,0.9583,0.9382,0.8984,0.8328,0.7437,0.9209,0.8852,0.8189,0.7226,0.614,2.4896,5.2229,14.5991,35.5045,80.0268
busi,full_ft,pm=0,0.8991,0.8879,0.8079,0.6745,0.5014,0.8224,0.8052,0.689,0.5263,0.3549,12.0911,15.2595,28.993,61.4669,131.0354
cbis_ddsm,full_ft,pm=0,0.828,0.7476,0.5617,0.3346,0.1704,0.7205,0.6113,0.4056,0.2118,0.0978,8.2137,12.6119,28.27,66.0876,140.0095
isic2018_test,zero_shot,pm=20,0.9072,0.9206,0.9144,0.8708,0.7673,0.8359,0.8582,0.8478,0.7796,0.6435,14.6066,12.8267,15.0608,29.3376,84.8684
ph2,zero_shot,pm=20,0.9054,0.915,0.9107,0.8756,0.7986,0.8343,0.8499,0.8423,0.7867,0.6796,17.0328,15.029,17.2084,31.2376,78.7735
busi,zero_shot,pm=20,0.8234,0.8504,0.8384,0.7579,0.6017,0.7082,0.7487,0.7323,0.6264,0.4533,20.4212,18.2506,21.6023,44.3726,111.6249
cbis_ddsm,zero_shot,pm=20,0.6924,0.7483,0.657,0.3905,0.1889,0.5506,0.616,0.5143,0.2648,0.1133,15.2832,12.3965,19.5954,55.304,126.8457
isic2018_test,decoder_only,pm=20,0.9462,0.9385,0.9076,0.8423,0.7408,0.9005,0.8874,0.8363,0.7395,0.6118,5.1796,6.4682,12.4826,31.3338,78.9064
ph2,decoder_only,pm=20,0.9473,0.9394,0.9138,0.8541,0.7753,0.9011,0.8873,0.8444,0.7538,0.6518,3.8764,5.3124,11.4155,29.8048,67.8858
busi,decoder_only,pm=20,0.8828,0.8745,0.8148,0.6996,0.537,0.7966,0.7842,0.6986,0.5567,0.3908,19.3036,20.9779,31.9585,62.0956,126.6261
cbis_ddsm,decoder_only,pm=20,0.7872,0.7078,0.5236,0.3094,0.1565,0.6646,0.5662,0.3718,0.194,0.0892,12.4971,24.9587,36.3784,72.7373,146.0337
isic2018_test,vpt_shallow,pm=20,0.9429,0.9328,0.904,0.8476,0.7455,0.8949,0.8774,0.8295,0.745,0.6159,6.5633,8.6337,15.3203,32.6138,80.2968
ph2,vpt_shallow,pm=20,0.9421,0.9305,0.9025,0.8436,0.7516,0.8922,0.8721,0.8259,0.7379,0.6218,5.3745,7.7851,15.4708,34.629,80.5264
busi,vpt_shallow,pm=20,0.7701,0.7537,0.7057,0.6239,0.4781,0.6527,0.6305,0.5695,0.4754,0.3355,156.6096,161.1566,170.8721,177.8905,226.7648
cbis_ddsm,vpt_shallow,pm=20,0.4167,0.3908,0.3271,0.2291,0.1273,0.2987,0.2688,0.2117,0.1382,0.0713,193.5206,177.862,179.5795,192.7518,225.5063
isic2018_test,vpt_deep,pm=20,0.9444,0.9328,0.8994,0.8347,0.7277,0.8976,0.8777,0.8221,0.7263,0.5929,6.1729,8.5695,16.1917,36.1275,86.2983
ph2,vpt_deep,pm=20,0.9444,0.9312,0.9004,0.8379,0.7465,0.8962,0.8733,0.8225,0.7296,0.6152,5.0168,7.669,16.0497,36.309,81.6993
busi,vpt_deep,pm=20,0.8136,0.8018,0.7504,0.6465,0.4884,0.7054,0.6882,0.619,0.4971,0.3436,115.1968,120.1979,126.7951,143.4382,210.0392
