dataset,method,training,dice_pm0,dice_pm20,dice_pm50,dice_pm100,dice_pm200,iou_pm0,iou_pm20,iou_pm50,iou_pm100,iou_pm200,hd95_pm0,hd95_pm20,hd95_pm50,hd95_pm100,hd95_pm200
isic2018_test,zero_shot,n/a,0.9072,0.9206,0.9144,0.8708,0.7673,0.8359,0.8582,0.8478,0.7796,0.6435,14.6066,12.8267,15.0608,29.3376,84.8684
isic2018_test,decoder_only,pm=0,0.9487,0.9345,0.8890,0.8159,0.7075,0.9052,0.8808,0.8065,0.7011,0.5692,5.4743,8.0141,18.2396,42.1000,97.6379
isic2018_test,decoder_only,pm=20,0.9462,0.9385,0.9076,0.8423,0.7408,0.9005,0.8874,0.8363,0.7395,0.6118,5.1796,6.4682,12.4826,31.3338,78.9064
isic2018_test,vpt_shallow,pm=0,0.9457,0.9337,0.8938,0.8300,0.7306,0.8998,0.8792,0.8138,0.7203,0.5972,5.6406,7.9048,17.0062,37.3908,86.1035
isic2018_test,vpt_shallow,pm=20,0.9429,0.9328,0.9040,0.8476,0.7455,0.8949,0.8774,0.8295,0.7450,0.6159,6.5633,8.6337,15.3203,32.6138,80.2968
isic2018_test,vpt_deep,pm=0,0.9472,0.9340,0.8947,0.8302,0.7256,0.9024,0.8799,0.8151,0.7208,0.5908,5.4259,7.7180,16.5627,36.7035,86.9926
isic2018_test,vpt_deep,pm=20,0.9444,0.9328,0.8994,0.8347,0.7277,0.8976,0.8777,0.8221,0.7263,0.5929,6.1729,8.5695,16.1917,36.1275,86.2983
isic2018_test,lora,pm=0,0.9545,0.9410,0.9052,0.8584,0.7978,0.9157,0.8917,0.8316,0.7602,0.6802,4.0847,5.7085,12.4936,25.7548,50.3248
isic2018_test,lora,pm=20,0.9510,0.9390,0.9070,0.8535,0.7808,0.9091,0.8882,0.8347,0.7536,0.6604,4.2314,5.9135,12.1453,26.2619,54.3891
isic2018_test,full_ft,pm=0,0.9609,0.9486,0.9022,0.8263,0.7098,0.9267,0.9051,0.8272,0.7155,0.5741,2.5780,4.0922,12.7385,35.2081,92.2343
isic2018_test,full_ft,pm=20,0.9553,0.9457,0.9110,0.8393,0.7252,0.9166,0.8996,0.8413,0.7333,0.5910,3.4770,4.6422,10.8096,30.9788,84.8609
ph2,zero_shot,n/a,0.9054,0.9150,0.9107,0.8756,0.7986,0.8343,0.8499,0.8423,0.7867,0.6796,17.0328,15.0290,17.2084,31.2376,78.7735
ph2,decoder_only,pm=0,0.9466,0.9305,0.8900,0.8200,0.7269,0.9003,0.8722,0.8058,0.7042,0.5902,5.2648,8.3123,19.2791,43.9061,93.7621
ph2,decoder_only,pm=20,0.9473,0.9394,0.9138,0.8541,0.7753,0.9011,0.8873,0.8444,0.7538,0.6518,3.8764,5.3124,11.4155,29.8048,67.8858
ph2,vpt_shallow,pm=0,0.9436,0.9288,0.8939,0.8312,0.7485,0.8952,0.8693,0.8123,0.7203,0.6171,5.3270,8.2040,17.7401,39.2039,82.3133
ph2,vpt_shallow,pm=20,0.9421,0.9305,0.9025,0.8436,0.7516,0.8922,0.8721,0.8259,0.7379,0.6218,5.3745,7.7851,15.4708,34.6290,80.5264
ph2,vpt_deep,pm=0,0.9458,0.9318,0.8978,0.8352,0.7463,0.8987,0.8743,0.8182,0.7261,0.6156,4.5991,7.3103,16.2274,36.8145,81.7687
ph2,vpt_deep,pm=20,0.9444,0.9312,0.9004,0.8379,0.7465,0.8962,0.8733,0.8225,0.7296,0.6152,5.0168,7.6690,16.0497,36.3090,81.6993
ph2,lora,pm=0,0.9557,0.9390,0.9078,0.8692,0.8342,0.9162,0.8865,0.8341,0.7746,0.7262,2.6823,4.9481,11.9220,23.0167,35.7370
ph2,lora,pm=20,0.9516,0.9368,0.9084,0.8643,0.8258,0.9090,0.8828,0.8352,0.7677,0.7156,2.7155,5.0202,11.2396,23.2775,37.5565
ph2,full_ft,pm=0,0.9583,0.9382,0.8984,0.8328,0.7437,0.9209,0.8852,0.8189,0.7226,0.6140,2.4896,5.2229,14.5991,35.5045,80.0268
ph2,full_ft,pm=20,0.9543,0.9422,0.9103,0.8462,0.7533,0.9138,0.8920,0.8379,0.7410,0.6245,3.1940,4.7821,11.6163,30.4729,75.4686
busi,zero_shot,n/a,0.8234,0.8504,0.8384,0.7579,0.6017,0.7082,0.7487,0.7323,0.6264,0.4533,20.4212,18.2506,21.6023,44.3726,111.6249
busi,decoder_only,pm=0,0.8944,0.8684,0.7759,0.6547,0.4888,0.8148,0.7746,0.6457,0.5040,0.3429,15.3100,21.0603,37.4314,68.2635,136.6492
