method,training,dataset,perturb_max_px,dice_mean_seeds,dice_std_seeds,n_seeds,seeds
decoder_only,pm=0,busi,0,0.8935,0.0008,3,"0,1,2"
decoder_only,pm=0,busi,20,0.8693,0.0015,3,"0,1,2"
decoder_only,pm=0,busi,50,0.7785,0.0035,3,"0,1,2"
decoder_only,pm=0,busi,100,0.6587,0.004,3,"0,1,2"
decoder_only,pm=0,busi,200,0.4915,0.0035,3,"0,1,2"
decoder_only,pm=0,cbis_ddsm,0,0.828,0.0006,3,"0,1,2"
decoder_only,pm=0,cbis_ddsm,20,0.7059,0.0081,3,"0,1,2"
decoder_only,pm=0,cbis_ddsm,50,0.5039,0.0052,3,"0,1,2"
decoder_only,pm=0,cbis_ddsm,100,0.3026,0.0023,3,"0,1,2"
decoder_only,pm=0,cbis_ddsm,200,0.1574,0.0012,3,"0,1,2"
decoder_only,pm=0,isic2018_test,0,0.9487,0.0002,3,"0,1,2"
decoder_only,pm=0,isic2018_test,20,0.9349,0.0006,3,"0,1,2"
decoder_only,pm=0,isic2018_test,50,0.89,0.0019,3,"0,1,2"
decoder_only,pm=0,isic2018_test,100,0.8176,0.003,3,"0,1,2"
decoder_only,pm=0,isic2018_test,200,0.7102,0.0042,3,"0,1,2"
decoder_only,pm=0,ph2,0,0.9467,0.0001,3,"0,1,2"
decoder_only,pm=0,ph2,20,0.9312,0.001,3,"0,1,2"
decoder_only,pm=0,ph2,50,0.8917,0.0023,3,"0,1,2"
decoder_only,pm=0,ph2,100,0.8229,0.0029,3,"0,1,2"
decoder_only,pm=0,ph2,200,0.7309,0.0037,3,"0,1,2"
decoder_only,pm=20,busi,0,0.8807,0.0018,3,"0,1,2"
decoder_only,pm=20,busi,20,0.8717,0.0044,3,"0,1,2"
decoder_only,pm=20,busi,50,0.8088,0.0098,3,"0,1,2"
decoder_only,pm=20,busi,100,0.6879,0.0128,3,"0,1,2"
decoder_only,pm=20,busi,200,0.5184,0.0179,3,"0,1,2"
decoder_only,pm=20,cbis_ddsm,0,0.7824,0.0044,3,"0,1,2"
decoder_only,pm=20,cbis_ddsm,20,0.7012,0.0138,3,"0,1,2"
decoder_only,pm=20,cbis_ddsm,50,0.5186,0.0144,3,"0,1,2"
decoder_only,pm=20,cbis_ddsm,100,0.304,0.0091,3,"0,1,2"
decoder_only,pm=20,cbis_ddsm,200,0.1532,0.004,3,"0,1,2"
decoder_only,pm=20,isic2018_test,0,0.9462,0.0004,3,"0,1,2"
decoder_only,pm=20,isic2018_test,20,0.9365,0.0022,3,"0,1,2"
decoder_only,pm=20,isic2018_test,50,0.9021,0.0056,3,"0,1,2"
decoder_only,pm=20,isic2018_test,100,0.8331,0.0095,3,"0,1,2"
decoder_only,pm=20,isic2018_test,200,0.7271,0.0135,3,"0,1,2"
decoder_only,pm=20,ph2,0,0.9449,0.003,3,"0,1,2"
decoder_only,pm=20,ph2,20,0.9329,0.0066,3,"0,1,2"
decoder_only,pm=20,ph2,50,0.9019,0.0119,3,"0,1,2"
decoder_only,pm=20,ph2,100,0.8382,0.0153,3,"0,1,2"
decoder_only,pm=20,ph2,200,0.7513,0.0227,3,"0,1,2"
decoder_only,rand100,busi,0,0.8226,0.0087,3,"0,1,2"
decoder_only,rand100,busi,20,0.8168,0.0114,3,"0,1,2"
decoder_only,rand100,busi,50,0.7883,0.0112,3,"0,1,2"
decoder_only,rand100,busi,100,0.6989,0.0131,3,"0,1,2"
decoder_only,rand100,busi,200,0.5142,0.0158,3,"0,1,2"
decoder_only,rand100,cbis_ddsm,0,0.609,0.0504,3,"0,1,2"
decoder_only,rand100,cbis_ddsm,20,0.5583,0.0544,3,"0,1,2"
decoder_only,rand100,cbis_ddsm,50,0.4528,0.0493,3,"0,1,2"
decoder_only,rand100,cbis_ddsm,100,0.2764,0.0307,3,"0,1,2"
decoder_only,rand100,cbis_ddsm,200,0.1362,0.0148,3,"0,1,2"
decoder_only,rand100,isic2018_test,0,0.9377,0.0008,3,"0,1,2"
decoder_only,rand100,isic2018_test,20,0.9314,0.002,3,"0,1,2"
decoder_only,rand100,isic2018_test,50,0.9145,0.0043,3,"0,1,2"
decoder_only,rand100,isic2018_test,100,0.8761,0.0068,3,"0,1,2"
decoder_only,rand100,isic2018_test,200,0.7896,0.0099,3,"0,1,2"
decoder_only,rand100,ph2,0,0.939,0.0028,3,"0,1,2"
decoder_only,rand100,ph2,20,0.9315,0.0038,3,"0,1,2"
decoder_only,rand100,ph2,50,0.9132,0.0039,3,"0,1,2"
decoder_only,rand100,ph2,100,0.8711,0.003,3,"0,1,2"
decoder_only,rand100,ph2,200,0.7944,0.0045,3,"0,1,2"
full_ft,pm=0,busi,0,0.9007,0.0015,3,"0,1,2"
full_ft,pm=0,busi,20,0.886,0.0035,3,"0,1,2"
full_ft,pm=0,busi,50,0.8051,0.0066,3,"0,1,2"
full_ft,pm=0,busi,100,0.6722,0.0057,3,"0,1,2"
